yyyy,mm,tmax,tmin,af,rain,sun
1873,7,16.7,9.9,0,110.5,0
1873,8,15.5,8.9,0,141.0,0
1873,9,12.2,5.9,0,100.7,0
1873,10,9.0,2.4,2,164.1,0
1873,11,7.6,2.1,3,91.9,0
1873,12,8.7,2.8,5,131.8,0
1874,1,6.6,1.1,11,171.6,0
1874,2,7.1,2.0,5,45.2,0
1874,3,8.2,3.1,5,130.3,0
1874,4,11.0,3.8,1,81.9,0
1874,5,11.9,4.5,0,69.8,0
1874,6,15.0,7.6,0,78.6,0
1874,7,17.6,10.3,0,78.5,0
1874,8,15.1,8.7,0,112.1,0
1874,9,12.9,6.9,0,132.7,0
1874,10,10.1,3.9,0,216.5,0
1874,11,7.6,3.0,3,132.0,0
1874,12,3.0,-2.2,28,103.7,0
1875,1,6.9,2.1,6,186.6,0
1875,2,5.1,0.7,7,56.3,0
1875,3,7.7,1.8,6,25.8,0
1875,4,11.2,2.7,2,74.7,0
1875,5,13.2,6.6,0,90.3,0
1875,6,14.8,6.4,0,74.2,0
1875,7,16.2,8.0,0,63.7,0
1875,8,16.1,9.6,0,96.8,0
1875,9,14.5,7.8,0,54.1,0
1875,10,10.4,4.9,1,80.7,0
1875,11,6.5,1.4,12,113.8,0
1875,12,7.0,1.9,8,121.7,0
1876,1,7.3,2.0,10,142.7,0
1876,2,4.5,-0.4,12,135.5,0
1876,3,5.6,-0.2,12,145.2,0
1876,4,8.5,2.7,7,99.0,0
1876,5,12.9,4.9,1,54.5,0
1876,6,15.2,8.4,0,108.3,0
1876,7,16.2,9.8,0,48.8,0
1876,8,16.3,9.3,0,58.7,0
1876,9,12.5,7.0,0,73.4,0
1876,10,11.3,6.3,0,137.0,0
1876,11,7.9,3.2,6,76.3,0
1876,12,6.4,2.5,7,68.3,0
1877,1,5.5,0.0,12,137.0,0
1877,2,5.7,0.6,8,163.5,0
1877,3,6.7,0.4,14,86.3,0
1877,4,8.4,1.8,6,45.0,0
1877,5,10.7,4.0,5,89.5,0
1877,6,14.8,7.6,0,132.1,0
1877,7,15.1,9.0,0,102.5,0
1877,8,14.2,8.6,0,76.0,0
1877,9,12.7,6.2,0,42.3,0
1877,10,10.1,4.2,4,201.4,0
1877,11,7.4,1.6,6,203.8,0
1877,12,6.7,1.4,12,172.7,0
1878,1,5.9,0.6,10,131.5,0
1878,2,8.3,3.5,2,60.0,0
1878,3,6.5,1.5,11,91.5,0
1878,4,10.3,4.3,2,23.7,0
1878,5,12.4,5.9,0,57.7,0
1878,6,14.6,8.5,0,61.7,0
1878,7,16.5,10.9,0,41.3,0
1878,8,16.9,10.4,0,37.3,0
1878,9,13.9,8.7,0,106.4,0
1878,10,11.3,6.7,1,129.2,0
1878,11,5.9,1.5,7,96.1,0
1878,12,3.1,-1.0,20,94.5,0
1879,1,3.7,0.0,15,34.7,0
1879,2,4.6,0.6,10,35.7,0
1879,3,5.5,0.1,13,88.1,0
1879,4,7.3,2.2,2,26.9,0
1879,5,10.0,4.2,1,45.5,0
1879,6,13.3,8.0,0,28.5,0
1879,7,13.5,9.5,0,67.8,0
1879,8,14.4,9.6,0,127.7,0
1879,9,12.8,7.5,0,114.8,0
1879,10,10.2,4.4,0,69.2,0
1879,11,7.4,3.1,3,68.9,0
1879,12,6.3,0.8,10,80.3,0
1880,1,0,0,0,0,0
1880,2,7.4,3.0,2,113.2,0
1880,3,8.6,2.6,1,23.3,0
1880,4,9.3,3.9,0,52.3,0
1880,5,11.2,5.7,0,48.6,0
1880,6,14.4,8.3,0,43.3,0
1880,7,15.7,10.5,0,34.5,0
1880,8,18.5,11.9,0,17.9,0
1880,9,15.5,10.0,0,85.2,0
1880,10,8.9,2.3,9,124.4,0
1880,11,7.3,1.6,12,139.7,0
1880,12,5.1,0.0,16,82.2,0
1881,1,3.1,-2.6,22,33.1,0
1881,2,4.8,0.2,11,90.1,0
1881,3,6.1,-0.1,14,84.7,0
1881,4,9.6,2.1,6,27.9,0
1881,5,13.0,5.9,0,70.1,0
1881,6,13.2,6.8,0,92.8,0
1881,7,14.4,9.3,0,86.7,0
1881,8,13.5,7.2,0,81.7,0
1881,9,13.5,8.1,0,43.1,0
1881,10,10.6,5.0,1,84.4,0
1881,11,10.3,5.0,1,154.6,0
1881,12,6.7,2.1,7,159.2,0
1882,1,8.2,3.3,2,122.8,0
1882,2,8.4,3.9,1,93.5,0
1882,3,8.2,2.9,4,161.0,0
1882,4,8.9,2.1,5,81.9,0
1882,5,13.0,5.5,1,45.4,0
1882,6,13.8,7.8,0,87.0,0
1882,7,16.1,10.7,0,84.0,0
1882,8,15.1,10.7,0,73.6,0
1882,9,12.7,7.5,0,66.0,0
1882,10,12.1,5.9,0,90.0,0
