yyyy,mm,tmax,tmin,af,rain,sun
1996,1,5.3,1.5,11.0,69.9,23.9
1996,2,4.5,-1.6,22.0,171.5,78.5
1996,3,6.5,0.6,12.0,70.8,61.8
1996,4,10.6,3.1,8.0,90.4,102.3
1996,5,11.5,3.1,7.0,166.9,154.8
1996,6,17.0,7.5,0.0,56.3,184.5
1996,7,17.9,9.9,0.0,91.8,164.1
1996,8,18.4,10.1,0.0,142.3,158.4
1996,9,16.5,7.9,0.0,85.6,150.4
1996,10,12.9,7.2,0.0,217.4,59.9
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,5.1,-0.7,19.0,8.2,0.0
1997,2,7.9,2.5,4.0,265.3,5.9
1997,3,10.2,0.0,0.0,94.9,112.0
1997,4,12.0,3.3,3.0,47.6,142.2
1997,5,15.3,6.1,3.0,158.3,205.0
1997,6,16.0,8.9,0.0,170.1,109.3
1997,7,19.0,9.9,0.0,106.7,189.0
1997,8,20.8,12.9,0.0,163.9,152.8
1997,9,15.9,9.5,0.0,79.9,107.5
1997,10,13.3,5.8,5.0,128.6,119.6
1997,11,10.1,5.3,0.0,263.7,33.8
1997,12,7.9,2.2,9.0,157.8,42.3
1998,1,6.8,1.8,13.0,224.2,37.7
1998,2,9.3,3.6,3.0,71.7,51.3
1998,3,9.6,3.9,2.0,287.0,59.0
1998,4,9.4,2.9,7.0,186.3,119.5
1998,5,16.8,7.0,0.0,56.4,221.2
1998,6,15.3,9.5,0.0,230.8,98.9
1998,7,15.9,10.3,0.0,172.5,83.1
1998,8,17.6,9.8,0.0,162.0,133.5
1998,9,16.2,9.9,0.0,233.1,91.7
1998,10,12.2,6.2,1.0,354.4,67.8
1998,11,8.3,2.8,6.0,157.1,36.0
1998,12,7.7,1.9,11.0,149.0,21.4
1999,1,7.4,1.9,7.0,302.4,22.2
1999,2,6.5,1.7,7.0,234.8,34.6
1999,3,9.1,3.0,5.0,157.5,62.3
1999,4,10.8,4.4,5.0,157.5,95.3
1999,5,14.9,7.7,0.0,98.2,77.3
1999,6,16.2,7.6,0.0,114.2,121.0
1999,7,20.2,11.6,0.0,36.2,187.2
1999,8,18.5,10.4,0.0,115.9,105.9
1999,9,17.7,9.3,0.0,199.0,132.2
1999,10,12.4,6.3,1.0,213.7,93.3
1999,11,9.0,4.0,4.0,191.2,51.4
1999,12,7.4,1.4,7.0,347.4,15.9
2000,1,6.2,1.0,15.0,176.1,29.0
2000,2,7.4,2.4,4.0,272.0,55.5
2000,3,9.0,2.6,5.0,130.7,80.4
2000,4,10.2,2.3,8.0,171.2,124.8
2000,5,15.0,6.4,0.0,144.0,171.7
2000,6,16.7,9.4,0.0,140.6,119.5
2000,7,17.9,9.8,0.0,166.8,158.8
2000,8,18.2,10.9,0.0,147.1,133.3
2000,9,16.8,9.8,0.0,188.9,93.6
2000,10,11.8,5.7,0.0,352.5,39.6
2000,11,8.2,3.5,1.0,424.4,15.2
2000,12,7.1,2.4,7.0,245.5,11.1
2001,1,5.4,0.1,12.0,116.7,35.0
2001,2,6.8,-0.2,16.0,156.7,68.1
2001,3,7.2,0.9,14.0,115.3,81.0
2001,4,9.5,2.1,8.0,187.3,96.4
2001,5,16.4,6.5,1.0,84.0,161.9
2001,6,16.4,7.8,0.0,64.3,124.0
2001,7,18.6,10.8,0.0,155.3,105.7
2001,8,18.2,10.9,0.0,172.6,126.7
2001,9,15.1,8.2,0.0,167.4,90.9
2001,10,14.7,9.0,0.0,245.1,70.1
2001,11,10.2,3.7,4.0,311.6,32.5
2001,12,6.5,0.5,13.0,107.2,50.8
2002,1,8.0,2.3,9.0,211.6,20.8
2002,2,8.6,2.9,5.0,401.3,38.2
2002,3,9.6,3.1,5.0,88.8,73.5
2002,4,12.3,3.9,2.0,133.9,140.1
2002,5,13.9,6.7,0.0,119.7,157.6
2002,6,14.9,8.8,0.0,76.4,110.0
2002,7,16.7,9.8,0.0,107.2,124.4
2002,8,18.2,10.6,0.0,79.1,138.2
2002,9,16.9,8.7,0.0,80.5,152.6
2002,10,12.4,6.0,1.0,222.2,81.7
2002,11,10.3,5.5,0.0,290.9,0.0
2002,12,7.1,3.1,3.0,246.8,26.2
2003,1,0.0,1.3,9.0,179.6,50.6
2003,2,6.5,0.6,12.0,73.6,91.9
2003,3,11.3,2.9,5.0,98.1,167.1
2003,4,13.5,4.3,4.0,65.3,189.4
2003,5,13.4,6.5,1.0,178.6,148.7
2003,6,18.1,9.8,0.0,54.9,177.9
2003,7,18.5,12.0,0.0,135.2,102.5
2003,8,20.3,11.7,0.0,40.3,172.8
2003,9,17.2,7.6,0.0,61.0,116.7
2003,10,11.0,4.3,8.0,157.2,102.5
2003,11,10.1,4.3,3.0,170.4,44.3
2003,12,7.4,1.5,12.0,238.7,37.6
2004,1,6.8,1.6,8.0,264.9,13.6
2004,2,6.9,0.8,15.0,141.3,97.7
2004,3,0.0,1.6,10.0,89.0,111.1
2004,4,11.3,4.4,2.0,87.3,112.0
2004,5,14.4,5.8,0.0,97.3,199.5
2004,6,16.9,9.4,0.0,98.4,158.8
2004,7,16.5,10.0,0.0,142.6,139.0
2004,8,18.9,12.0,0.0,179.3,150.2
2004,9,16.2,9.8,0.0,283.5,117.1
2004,10,12.0,6.4,0.0,333.3,96.2
2004,11,9.4,4.5,5.0,154.5,30.3
2004,12,7.9,2.7,6.0,209.0,30.2
2005,1,7.7,2.8,3.0,170.5,37.3
2005,2,0.0,0.0,0.0,146.8,0.0
2005,3,9.3,2.9,10.0,87.8,67.4
2005,4,11.2,3.9,3.0,129.3,138.8
2005,5,13.9,5.5,1.0,71.8,189.3
2005,6,17.8,9.8,0.0,94.1,0.0
2005,7,18.5,11.3,0.0,104.1,156.4
2005,8,18.5,9.9,0.0,115.4,168.7
2005,9,17.0,9.4,0.0,149.1,116.5
2005,10,14.2,8.8,0.0,191.8,83.0
2005,11,9.3,1.7,13.0,249.9,80.6
2005,12,7.0,1.9,10.0,226.2,26.3
2006,1,5.9,1.4,15.0,97.2,54.6
2006,2,5.3,0.2,14.0,121.9,64.0
2006,3,6.9,0.9,12.0,196.3,84.2
2006,4,10.8,3.6,5.0,97.0,144.9
2006,5,14.3,6.2,1.0,190.3,158.3
2006,6,0.0,0.0,0.0,30.0,0.0
2006,7,0.0,0.0,0.0,51.8,0.0
2006,8,0.0,0.0,0.0,170.2,0.0
2006,9,0.0,0.0,0.0,72.6,0.0
2006,10,14.5,8.5,0.0,205.6,98.2
2006,11,10.5,3.2,6.0,228.9,71.1
2006,12,8.3,3.0,7.0,304.2,31.0
2007,1,8.7,3.4,5.0,223.0,31.1
2007,2,7.9,2.1,8.0,165.2,75.1
2007,3,9.5,2.2,6.0,117.2,131.4
2007,4,15.8,4.4,3.0,18.8,232.5
2007,5,14.5,6.0,2.0,192.5,176.4
2007,6,18.0,10.0,0.0,159.3,112.3
2007,7,16.3,9.6,0.0,260.8,145.3
2007,8,17.5,8.7,0.0,89.1,161.0
2007,9,15.7,8.5,0.0,148.3,113.4
2007,10,13.5,6.6,1.0,77.8,102.8
2007,11,9.7,3.8,7.0,118.5,37.0
2007,12,7.3,1.6,14.0,224.3,45.0
2008,1,8.1,2.8,4.0,348.9,27.0
2008,2,9.6,0.9,13.0,84.2,114.9
2008,3,7.8,1.2,8.0,209.3,95.4
2008,4,10.0,2.6,9.0,127.2,139.4
2008,5,17.2,7.4,0.0,66.0,201.5
2008,6,15.5,7.4,0.0,113.9,183.6
2008,7,17.5,10.6,0.0,186.1,124.4
2008,8,16.7,11.5,0.0,231.0,66.1
2008,9,15.5,7.8,0.0,162.2,96.3
2008,10,11.5,5.6,1.0,317.6,79.1
2008,11,8.7,3.8,5.0,237.3,38.9
2008,12,5.9,-0.3,19.0,140.1,57.2
2009,1,5.8,-0.7,15.0,167.1,42.0
2009,2,5.5,0.8,11.0,35.1,26.2
2009,3,8.7,2.0,6.0,110.8,93.0
2009,4,12.5,3.5,6.0,78.6,135.7
2009,5,14.1,6.1,0.0,126.1,152.2
2009,6,18.2,9.0,0.0,99.9,182.4
2009,7,17.7,11.0,0.0,219.9,128.7
2009,8,17.8,11.1,0.0,140.7,140.1
2009,9,15.7,8.8,0.0,86.3,57.2
2009,10,13.9,6.9,3.0,126.6,78.9
2009,11,9.4,4.9,0.0,425.4,34.0
2009,12,5.2,-0.2,13.0,167.7,36.7
2010,1,3.4,-2.3,22.0,127.9,32.9
2010,2,4.8,-1.6,19.0,70.4,72.2
2010,3,8.7,0.8,16.0,102.0,119.3
2010,4,13.0,3.8,4.0,56.8,194.3
2010,5,14.2,4.7,4.0,71.5,207.3
2010,6,18.8,8.0,0.0,80.5,220.0
2010,7,17.3,11.9,0.0,209.3,80.3
2010,8,16.6,9.3,0.0,88.8,130.5
2010,9,16.3,8.7,1.0,181.2,135.5
2010,10,12.5,5.2,5.0,108.0,117.2
2010,11,7.1,0.5,11.0,154.9,73.3
2010,12,3.1,-3.7,23.0,82.6,52.4
2011,1,5.8,-0.3,16.0,191.4,44.7
2011,2,8.3,3.1,5.0,165.8,43.5
2011,3,10.3,1.4,12.0,35.5,145.0
