yyyy,mm,tmax,tmin,af,rain,sun
1996,1,0.0,0,0,78.0,10.9
1996,2,6.5,0.8,9,149.4,78.3
1996,3,8.0,2.2,6,0.0,86.8
1996,4,11.3,5.4,1,125.4,9.2
1996,5,12.7,5.0,2,95.6,75.2
1996,6,16.1,8.4,0,114.2,25.6
1996,7,16.6,10.6,0,98.7,41.1
1996,8,18.1,11.6,0,44.3,20.9
1996,9,17.2,9.9,0,75.6,40.1
1996,10,13.7,8.8,0,275.0,60.8
1996,11,8.5,3.1,7,194.6,66.9
1996,12,7.0,1.7,13,71.6,49.9
1997,1,6.8,1.5,14,93.0,28.5
1997,2,8.6,3.0,1,290.4,45.4
1997,3,10.3,5.0,1,155.4,88.0
1997,4,12.0,5.8,2,93.6,94.2
1997,5,15.5,6.9,1,76.4,12.0
1997,6,16.9,9.0,0,27.6,99.5
1997,7,18.6,11.8,0,104.0,36.4
1997,8,20.4,12.7,0,50.3,80.7
1997,9,15.6,9.2,0,167.7,18.2
1997,10,12.8,7.0,0,109.1,4.2
1997,11,0.0,0,0,89.4,28.2
1997,12,8.9,3.8,4,0.0,32.9
1998,1,8.0,2.6,6,0.0,29.1
1998,2,9.9,6.3,0,0.0,27.2
1998,3,9.6,4.5,5,109.0,54.9
1998,4,10.5,4.3,2,0.0,50.0
1998,5,14.9,8.0,0,0.0,56.6
1998,6,16.1,8.7,0,148.9,67.4
1998,7,16.6,11.2,0,188.0,11.3
1998,8,16.8,11.4,0,0.0,8.5
1998,9,17.3,10.7,0,98.9,0.5
1998,10,12.1,6.6,0,253.7,4.8
1998,11,9.7,4.2,2,0.0,59.1
1998,12,9.5,4.0,5,237.5,27.0
1999,1,7.4,2.7,4,282.2,32.2
1999,2,7.5,2.7,2,152.9,61.9
1999,3,9.4,3.8,2,159.3,96.4
1999,4,12.1,5.7,1,114.9,37.1
1999,5,15.2,8.0,0,0.0,58.7
1999,6,15.8,8.7,0,132.7,31.4
1999,7,18.4,11.5,0,94.1,66.2
1999,8,19.1,10.9,0,88.8,50.7
1999,9,17.3,11.1,0,225.7,83.7
1999,10,13.5,8.8,0,146.0,66.0
1999,11,10.2,4.5,3,251.3,46.8
1999,12,7.2,2.0,5,304.4,32.2
2000,1,8.3,3.2,6,245.4,49.0
2000,2,8.4,3.3,1,242.4,46.7
2000,3,9.8,4.7,3,106.8,75.6
2000,4,11.3,3.8,4,31.8,36.5
2000,5,16.7,6.7,0,50.0,70.6
2000,6,16.4,9.6,0,92.2,42.8
2000,7,19.3,10.7,0,61.8,51.0
2000,8,19.1,11.5,0,107.0,53.8
2000,9,16.5,10.9,0,195.4,87.9
2000,10,12.9,7.8,0,284.6,76.6
2000,11,9.4,4.6,1,136.0,48.3
2000,12,8.0,3.0,10,191.2,38.8
2001,1,6.5,0.6,13,145.0,62.0
2001,2,7.3,2.0,6,64.6,82.0
2001,3,9.4,2.5,10,73.6,21.8
2001,4,12.0,4.9,1,57.8,30.2
2001,5,16.6,7.7,0,37.4,24.8
2001,6,15.7,9.0,0,124.0,18.5
2001,7,17.6,11.4,0,123.0,16.9
2001,8,17.9,11.4,0,163.6,36.7
2001,9,16.1,9.7,0,107.2,99.3
2001,10,14.9,10.3,0,244.8,50.5
2001,11,10.9,5.7,3,167.8,29.4
2001,12,8.2,1.9,8,92.4,59.2
2002,1,9.5,5.1,2,239.7,0.0
2002,2,8.6,3.5,1,213.8,0.0
2002,3,10.4,4.4,2,128.4,0.0
2002,4,12.3,5.7,2,103.2,0.0
2002,5,15.2,7.7,0,109.6,0.0
2002,6,16.3,10.7,0,170.6,0.0
2002,7,16.9,10.8,0,123.8,0.0
2002,8,18.8,12.0,0,94.4,0.0
2002,9,17.4,10.0,0,62.6,0.0
2002,10,11.8,6.3,2,127.4,0.0
2002,11,10.5,6.6,1,153.2,0.0
2002,12,7.9,3.6,7,42.0,0.0
2003,1,7.6,2.2,10,156.6,0.0
2003,2,8.1,2.2,8,57.0,0.0
2003,3,11.4,3.8,2,99.2,0.0
2003,4,14.4,6.1,1,32.2,0.0
2003,5,13.9,7.7,0,152.0,0.0
2003,6,17.6,11.0,0,111.2,0.0
2003,7,19.8,12.7,0,91.8,0.0
2003,8,20.0,11.7,0,48.4,0.0
2003,9,16.5,9.5,0,98.0,0.0
2003,10,12.4,5.7,2,69.4,0.0
2003,11,0.0,0,0,0.0,0.0
2003,12,8.2,2.4,9,162.0,0.0
2004,1,7.9,3.1,5,230.0,0.0
2004,2,8.2,1.8,11,95.2,0.0
2004,3,9.8,3.5,4,133.8,0.0
2004,4,12.1,6.2,0,131.6,0.0
2004,5,0.0,0,0,70.8,0.0
2004,6,16.0,10.1,0,144.9,0.0
2004,7,17.6,10.7,0,92.6,0.0
2004,8,19.6,12.6,0,182.4,0.0
2004,9,0.0,0,0,213.0,0.0
2004,10,0.0,0,0,0.0,0.0
2004,11,10.4,6.3,2,107.4,0.0
2004,12,9.3,3.9,3,255.8,0.0
2005,1,0.0,0,0,242.6,0.0
2005,2,7.5,2.5,7,117.2,0.0
2005,3,10.4,4.4,2,123.6,0.0
2005,4,11.8,5.6,0,99.2,0.0
2005,5,13.6,6.0,1,94.6,0.0
2005,6,16.9,10.1,0,133.7,0.0
2005,7,18.0,10.9,0,48.0,0.0
2005,8,17.7,10.9,0,175.4,0.0
2005,9,16.4,11.1,0,175.7,0.0
2005,10,0.0,0,0,0.0,0.0
2005,11,9.6,4.3,4,162.6,0.0
2005,12,8.1,3.2,8,101.6,0.0
2006,1,7.6,2.7,7,129.8,0.0
2006,2,7.9,1.8,12,112.0,0.0
2006,3,7.9,1.9,10,77.8,0.0
2006,4,10.8,3.5,2,119.2,0.0
2006,5,14.8,7.1,0,142.6,0.0
2006,6,17.5,10.0,0,92.4,0.0
2006,7,20.4,12.3,0,95.8,0.0
2006,8,17.6,11.2,0,108.8,0.0
2006,9,17.6,11.6,0,205.2,0.0
2006,10,14.5,9.1,0,0.0,0.0
2006,11,10.4,5.6,0,277.8,0.0
2006,12,8.6,4.6,1,347.2,0.0
2007,1,8.9,4.1,3,285.8,0.0
2007,2,8.4,3.7,4,113.8,0.0
2007,3,10.2,3.6,3,157.2,0.0
2007,4,14.1,6.4,1,66.4,0.0
2007,5,14.0,6.7,0,121.8,0.0
2007,6,17.5,10.5,0,101.0,0.0
2007,7,17.3,11.0,0,89.2,0.0
2007,8,16.8,10.9,0,139.0,0.0
2007,9,14.8,9.8,0,110.0,0.0
2007,10,14.0,8.4,0,165.9,0.0
2007,11,10.6,5.8,3,170.0,0.0
2007,12,8.6,3.2,5,152.0,0.0
2008,1,0.0,--,0,0.0,0.0
2008,2,0.0,--,0,0.0,0.0
2008,3,0.0,--,0,150.1,0.0
2008,4,11.0,3.6,4,88.0,0.0
2008,5,17.5,8.7,0,26.0,0.0
2008,6,16.1,9.0,0,0.0,0.0
2008,7,18.5,12.4,0,79.6,0.0
2008,8,17.7,12.1,0,113.8,0.0
2008,9,15.6,10.1,0,109.2,0.0
2008,10,12.1,6.5,1,281.6,0.0
2008,11,9.5,4.7,1,152.6,0.0
2008,12,7.2,1.5,13,166.8,0.0
2009,1,7.3,2.2,5,198.0,0.0
2009,2,7.2,2.7,9,65.2,0.0
2009,3,9.5,3.6,3,155.8,0.0
2009,4,13.2,6.4,0,110.6,0.0
2009,5,14.5,7.2,0,174.6,0.0
2009,6,18.2,9.7,0,71.8,0.0
2009,7,18.5,11.9,0,124.2,0.0
2009,8,17.4,12.1,0,228.2,0.0
2009,9,15.9,10.8,0,121.6,0.0
2009,10,13.6,8.4,0,166.0,0.0
2009,11,10.0,5.1,2,269.6,0.0
2009,12,5.5,0.2,16,58.8,0.0
2010,1,5.3,-0.1,15,64.4,0.0
2010,2,5.7,-0.5,15,44.8,0.0
2010,3,9.1,2.4,9,68.4,0.0
2010,4,12.3,4.5,2,109.0,0.0
2010,5,14.2,6.0,1,43.0,0.0
2010,6,18.4,10.4,0,29.8,0.0
2010,7,17.2,11.8,0,177.2,0.0
2010,8,17.1,10.4,0,118.0,0.0
2010,9,16.3,10.1,0,125.8,0.0
2010,10,13.5,7.3,1,164.6,0.0
2010,11,7.9,2.2,9,125.0,0.0
2010,12,4.2,-2.1,22,33.8,0.0
2011,1,6.6,1.6,9,164.6,0.0
2011,2,8.1,3.0,3,212.4,0.0
2011,3,9.4,3.4,2,90.0,0.0
2011,4,14.5,6.8,0,106.0,0.0
2011,5,13.7,8.0,0,254.4,0.0
2011,6,15.4,8.7,0,84.8,0.0
2011,7,18.5,10.4,0,85.0,0.0
2011,8,16.6,10.6,0,149.6,0.0
2011,9,16.1,10.8,0,254.4,0.0
2011,10,13.5,9.2,0,303.2,0.0
2011,11,12.4,7.2,0,244.6,0.0
2011,12,8.1,2.7,3,417.8,0.0
2012,1,7.7,3.1,1,203.6,0.0
2012,2,8.3,4.4,2,171.4,0.0
2012,3,11.7,5.6,1,73.4,0.0
2012,4,11.1,2.9,5,59.8,0.0
2012,5,15.8,6.5,2,96.4,0.0
2012,6,16.3,9.1,0,117.2,0.0
2012,7,17.5,10.7,0,107.8,0.0
2012,8,18.8,11.5,0,112.2,0.0
2012,9,14.5,9.5,0,142.0,0.0
2012,10,11.6,4.6,3,180.8,0.0
2012,11,9.1,4.1,4,217.0,0.0
2012,12,7.4,2.4,8,207.5,0.0
2013,1,7.1,3.5,0,201.2,0.0
2013,2,7.4,1.5,8,70.6,0.0
2013,3,6.7,1.2,8,22.6,0.0
2013,4,10.0,3.2,6,119.0,0.0
2013,5,13.5,6.5,0,123.8,0.0
2013,6,16.6,9.1,0,53.8,0.0
2013,7,20.3,12.0,0,55.8,0.0
2013,8,17.7,11.8,0,125.6,0.0
2013,9,15.9,9.9,0,129.4,0.0
2013,10,13.9,8.8,0,201.4,0.0
2013,11,9.1,3.3,4,173.4,0.0
2013,12,9.5,5.2,0,330.5,0.0
2014,1,7.4,3.6,0,217.1,0.0
2014,2,8.0,3.6,0,228.0,0.0
2014,3,9.7,4.6,2,167.0,0.0
2014,4,13.3,6.6,0,105.4,0.0
2014,5,15.0,8.2,0,159.8,0.0
2014,6,17.8,10.7,0,51.6,0.0
2014,7,19.8,11.9,0,116.8,0.0
2014,8,17.3,10.6,0,142.4,0.0
2014,9,17.7,10.5,0,39.2,0.0
2014,10,13.8,7.9,0,307.8,0.0
2014,11,11.4,5.7,0,129.6,0.0
2014,12,8.1,2.8,3,271.2,0.0
2015,1,7.0,2.1,5,306.4,0.0
2015,2,7.3,1.3,11,144.6,0.0
2015,3,9.3,2.6,3,220.2,0.0
2015,4,11.9,3.0,2,105.2,0.0
2015,5,12.4,5.9,2,179.4,0.0
2015,6,15.3,8.4,0,115.8,0.0
2015,7,17.0,10.2,0,127.2,0.0
2015,8,17.8,11.1,0,122.0,0.0
2015,9,16.5,9.5,0,38.6,0.0
2015,10,14.2,8.0,0,87.0,0.0
2015,11,10.7,5.9,1,255.8,0.0
2015,12,10.1,4.9,2,342.6,0.0
2016,1,7.6,3.3,2,265.7,0.0
2016,2,7.3,1.6,8,185.6,0.0
2016,3,9.8,3.0,4,107.6,0.0
2016,4,10.8,3.5,2,93.2,0.0
2016,5,16.5,7.2,1,97.8,0.0
2016,6,18.7,10.7,0,64.8,0.0
