yyyy,mm,tmax,tmin,af,rain,sun
1996,1,5.1,1.9,5,29.9,7.6
1996,2,5.7,-0.7,19,66.7,0.4
1996,3,5.4,1.2,9,25.9,9.3
1996,4,11.5,3.7,8,33.8,0.4
1996,5,12.6,3.9,3,36.0,0.3
1996,6,18.2,7.9,0,8.6,7.0
1996,7,20.1,10.2,0,46.8,2.0
1996,8,20.7,10.6,0,71.8,9.6
1996,9,16.4,8.8,0,24.6,3.7
1996,10,14.3,6.9,0,36.3,7.4
1996,11,7.9,1.8,13,77.3,7.6
1996,12,5.1,0.4,13,62.5,9.5
1997,1,5.3,-0.3,19,13.8,4.7
1997,2,9.0,2.2,3,71.6,6.8
1997,3,11.8,3.9,4,12.4,6.7
1997,4,12.7,4.1,4,5.8,5.5
1997,5,14.6,4.9,4,54.5,5.9
1997,6,16.0,9.0,0,174.4,3.4
1997,7,20.8,11.1,0,67.0,9.4
1997,8,22.0,12.3,0,48.1,6.2
1997,9,17.2,8.0,0,11.3,1.2
1997,10,13.1,5.4,3,31.7,0.2
1997,11,10.2,5.0,2,68.2,3.0
1997,12,7.9,2.7,4,82.8,6.6
1998,1,6.8,1.4,6,92.0,4.2
1998,2,10.9,4.3,5,6.1,3.2
1998,3,11.0,3.1,7,59.3,0.3
1998,4,10.6,3.4,5,151.0,8.0
1998,5,16.3,7.3,0,71.8,5.9
1998,6,16.8,9.1,0,97.8,7.0
1998,7,18.5,10.5,0,52.6,6.5
1998,8,18.7,11.0,0,44.9,8.6
1998,9,16.7,10.3,0,53.4,8.9
1998,10,12.8,5.9,1,96.9,9.8
1998,11,8.3,1.7,6,64.9,6.1
1998,12,7.8,1.5,8,27.3,0.7
1999,1,7.7,1.6,6,57.5,8.5
1999,2,8.2,1.4,10,15.6,8.5
1999,3,9.9,3.1,2,92.7,5.0
1999,4,12.6,4.0,6,42.5,7.6
1999,5,15.8,7.6,0,50.2,9.5
1999,6,16.7,8.3,0,67.2,4.3
1999,7,20.8,11.5,0,12.1,1.2
1999,8,19.0,10.8,0,81.3,6.2
1999,9,19.6,10.2,0,52.0,3.0
1999,10,13.6,6.1,1,42.6,0
1999,11,10.3,4.3,3,46.8,0
1999,12,6.3,0.7,13,64.1,0
2000,1,7.9,1.9,6,35.1,0
2000,2,8.7,2.4,6,29.5,0
2000,3,10.8,3.6,4,21.0,0
2000,4,11.0,3.4,5,149.8,0
2000,5,15.2,6.5,0,46.0,0
2000,6,17.2,9.4,0,89.4,0
2000,7,17.8,10.4,0,49.4,0
2000,8,20.2,10.9,0,43.8,0
2000,9,17.3,9.7,0,84.2,0
2000,10,13.0,6.0,1,119.2,0
2000,11,8.8,3.4,0,148.4,0
2000,12,6.8,2.3,11,72.4,0
2001,1,5.7,0.1,15,46.2,0
2001,2,7.4,-0.4,16,103.6,0
2001,3,7.5,0.1,11,43.4,0
2001,4,10.5,3.0,3,59.8,0
2001,5,16.7,6.4,0,15.0,0
2001,6,16.8,8.9,0,38.2,0
2001,7,20.1,12.0,0,13.2,0
2001,8,20.3,11.7,0,76.3,0
2001,9,16.0,9.7,0,74.7,0
2001,10,15.7,9.9,0,77.1,0
2001,11,11.0,4.2,3,35.8,0
2001,12,6.0,0.3,17,54.4,0
2002,1,7.5,1.5,12,37.0,0
2002,2,9.3,2.8,4,83.6,0
2002,3,11.1,2.8,4,37.4,0
2002,4,13.3,4.1,4,19.4,0
2002,5,15.1,7.6,0,53.0,0
2002,6,17.5,9.9,0,47.0,0
2002,7,19.3,10.6,0,79.6,0
2002,8,20.5,12.7,0,91.2,0
2002,9,17.4,9.5,0,25.2,0
2002,10,12.4,5.4,3,86.0,0
2002,11,9.6,4.6,1,83.8,0
2002,12,6.4,3.5,4,92.2,0
2003,1,7.0,2.2,9,62.0,0
2003,2,6.8,-0.7,17,18.0,0
2003,3,12.1,2.0,8,17.6,0
2003,4,14.0,4.3,5,24.0,0
2003,5,15.8,7.7,0,44.4,0
2003,6,19.6,10.9,0,61.0,0
2003,7,20.4,12.8,0,50.4,0
2003,8,21.0,12.2,0,15.9,0
2003,9,18.3,8.9,0,41.1,0
2003,10,12.8,5.0,2,41.5,0
2003,11,10.5,4.4,4,45.7,0
2003,12,7.7,0.9,14,65.0,0
2004,1,7.6,2.4,7,97.0,0
2004,2,8.8,3.0,8,29.0,0
2004,3,10.4,2.9,4,24.5,0
2004,4,13.1,5.9,1,54.4,0
2004,5,16.5,6.2,0,21.8,0
2004,6,18.7,10.1,0,67.6,0
2004,7,19.1,10.9,0,62.8,0
2004,8,20.0,12.5,0,155.8,0
2004,9,17.6,9.7,0,19.8,0
2004,10,12.6,6.6,0,120.2,0
2004,11,10.0,4.3,6,18.2,0
2004,12,8.3,1.7,10,19.8,0
2005,1,8.4,2.7,6,35.6,0
2005,2,6.9,1.3,9,41.5,0
2005,3,9.7,3.7,6,44.8,0
2005,4,11.7,4.1,1,82.0,0
2005,5,14.9,6.2,1,20.4,0
2005,6,18.6,10.0,0,36.2,0
2005,7,19.7,11.7,0,72.6,0
2005,8,20.2,10.5,0,38.0,0
2005,9,18.7,9.7,0,63.8,0
2005,10,14.6,8.9,0,74.6,0
2005,11,9.4,2.4,11,71.6,0
2005,12,7.3,1.2,10,37.8,0
2006,1,6.3,1.3,9,20.6,0
2006,2,7.0,1.1,9,44.2,0
2006,3,6.7,0.8,14,79.2,0
2006,4,12.0,3.9,3,24.0,0
2006,5,15.1,6.3,1,84.4,0
2006,6,19.7,9.9,0,13.0,0
2006,7,24.2,12.4,0,10.0,0
2006,8,19.2,11.5,0,57.4,0
2006,9,20.0,11.8,0,35.0,0
2006,10,15.5,8.6,0,53.2,0
2006,11,11.0,4.5,1,125.5,0
2006,12,7.6,2.2,9,77.4,0
2007,1,9.5,3.1,5,56.2,0
2007,2,8.5,2.1,8,70.0,0
2007,3,10.2,3.3,4,20.8,0
2007,4,15.4,6.0,0,11.4,0
2007,5,14.8,6.9,0,50.0,0
2007,6,17.4,9.9,0,118.8,0
2007,7,19.0,10.9,0,100.2,0
2007,8,19.2,10.6,0,30.6,0
2007,9,17.4,8.8,0,39.4,0
2007,10,14.2,6.1,3,13.0,0
2007,11,10.4,3.9,3,61.2,0
2007,12,6.5,1.1,14,52.6,0
2008,1,7.9,2.8,7,113.2,0
2008,2,8.9,0.7,11,13.4,0
2008,3,9.1,1.9,7,38.4,0
2008,4,11.2,3.3,4,84.0,0
