yyyy,mm,tmax,tmin,af,rain,sun
1996,1,7.2,3.1,5,41.5,25.3
1996,2,6.8,0.1,17,49.0,0.3
1996,3,8.6,2.1,9,31.4,75.9
1996,4,14.3,5.5,3,25.0,47.5
1996,5,15.1,5.9,0,25.8,82.6
1996,6,22.8,11.3,0,12.0,82.7
1996,7,24.2,13.2,0,28.8,33.7
1996,8,23.1,13.4,0,45.8,17.6
1996,9,19.2,10.7,0,22.0,42.0
1996,10,16.6,8.9,0,35.4,42.3
1996,11,10.5,2.7,9,91.0,7.5
1996,12,6.2,1.4,11,13.0,57.6
1997,1,5.5,0.2,13,10.3,59.3
1997,2,10.8,4.0,4,55.1,58.1
1997,3,13.8,5.3,0,11.4,51.0
1997,4,15.6,5.4,1,9.8,18.5
1997,5,18.7,8.5,1,28.2,59.2
1997,6,20.2,12.2,0,78.6,51.6
1997,7,23.5,13.9,0,34.6,41.1
1997,8,25.8,16.6,0,70.5,94.2
1997,9,20.9,11.8,0,6.8,90.3
1997,10,15.9,7.5,3,44.9,66.0
1997,11,12.5,6.2,2,47.1,67.3
1997,12,9.5,4.2,4,47.4,48.0
1998,1,9.2,3.5,3,68.6,65.2
1998,2,11.6,3.5,5,6.6,13.1
1998,3,12.1,5.7,1,51.1,84.9
1998,4,12.7,5.7,0,82.6,15.4
1998,5,19.6,10.2,0,31.9,28.2
1998,6,19.9,12.0,0,89.6,58.4
1998,7,21.4,13.0,0,26.9,84.3
1998,8,23.5,12.7,0,16.6,62.6
1998,9,20.4,12.7,0,101.2,49.1
1998,10,14.7,8.6,0,103.8,96.7
1998,11,9.6,3.4,4,57.0,78.5
1998,12,9.7,3.8,7,49.2,42.4
1999,1,9.4,3.8,3,68.7,53.7
1999,2,8.8,2.8,7,21.1,90.1
1999,3,12.2,5.0,2,25.6,22.5
1999,4,14.9,6.3,1,35.0,67.8
1999,5,19.1,10.2,0,35.8,84.9
1999,6,20.3,11.0,0,98.2,39.1
1999,7,24.9,14.3,0,8.6,75.9
1999,8,22.8,14.0,0,124.8,99.8
1999,9,21.3,13.2,0,86.7,65.0
1999,10,15.6,7.9,0,49.2,60.5
1999,11,11.3,5.9,0,31.2,79.0
1999,12,8.7,2.4,7,77.2,75.3
2000,1,8.6,2.4,7,16.5,78.6
2000,2,10.4,3.8,5,62.2,2.5
2000,3,12.1,4.9,1,16.0,20.4
2000,4,12.9,5.4,0,99.6,35.8
2000,5,18.0,9.6,0,87.2,2.9
2000,6,21.0,12.8,0,19.2,69.5
