yyyy,mm,tmax,tmin,af,rain,sun
1996,1,7.9,3.7,4,74.5,2.1
1996,2,6.9,-1.1,17,93.7,0.5
1996,3,8.8,1.4,9,55.4,4.0
1996,4,13.2,3.9,7,36.2,9.0
1996,5,14.2,4.7,3,53.8,2.5
1996,6,19.8,8.4,0,35.7,4.5
1996,7,22.6,10.9,0,16.6,0.0
1996,8,22.0,10.9,0,83.4,5.2
1996,9,18.7,8.5,0,37.4,6.3
1996,10,16.0,8.4,0,61.0,6.0
1996,11,10.8,1.8,16,145.7,5.3
1996,12,6.4,0.8,11,37.7,2.6
1997,1,5.6,-1.0,18,20.7,4.6
1997,2,10.4,3.7,6,99.7,7.4
1997,3,12.7,3.7,5,34.7,2.4
1997,4,15.2,1.7,12,21.1,2.8
1997,5,17.3,6.7,1,43.4,2.0
1997,6,18.7,11.0,0,116.0,5.5
1997,7,22.5,11.3,0,10.8,3.9
1997,8,23.3,14.7,0,117.1,6.8
1997,9,19.9,8.3,0,10.3,4.3
1997,10,16.3,6.3,6,64.9,3.2
1997,11,12.8,4.8,9,169.5,0.3
1997,12,10.0,2.4,12,107.2,8.1
1998,1,9.3,2.4,12,128.4,0.9
1998,2,11.0,1.6,9,14.1,1.4
1998,3,12.0,4.8,6,72.2,4.0
1998,4,12.2,4.1,5,93.1,7.6
1998,5,19.7,8.7,1,36.7,6.9
1998,6,18.7,11.0,0,94.7,2.9
1998,7,20.2,11.7,0,54.2,2.1
1998,8,22.7,9.9,0,18.0,2.1
1998,9,19.8,11.0,0,100.1,7.8
1998,10,15.3,7.7,1,146.1,4.2
1998,11,10.8,2.5,9,57.0,4.9
1998,12,9.9,2.2,9,95.3,1.3
1999,1,10.0,2.5,6,132.4,2.7
1999,2,9.2,2.1,7,36.2,8.7
1999,3,11.7,2.4,10,27.8,2.6
1999,4,14.0,4.8,6,86.4,6.0
1999,5,18.1,8.7,0,15.6,0.4
1999,6,19.3,8.5,0,65.8,5.2
1999,7,24.0,12.0,0,6.4,9.1
1999,8,21.5,12.2,0,101.1,5.0
1999,9,20.4,11.4,0,131.2,6.3
1999,10,15.7,6.1,3,77.8,4.6
1999,11,11.3,4.1,3,57.8,3.7
1999,12,9.2,1.6,10,180.6,1.5
2000,1,8.8,0.0,17,39.2,6.5
2000,2,10.6,2.7,8,85.6,4.3
2000,3,12.0,2.9,9,30.2,0.1
2000,4,12.2,3.9,5,150.6,5.2
2000,5,17.4,8.4,0,88.1,4.9
2000,6,19.1,10.5,0,38.6,5.2
2000,7,20.9,11.2,0,42.8,3.3
2000,8,22.5,11.7,0,25.0,9.6
2000,9,19.5,11.1,0,112.8,8.6
2000,10,15.0,7.1,0,180.2,7.1
2000,11,11.3,3.3,6,201.6,9.2
2000,12,9.2,4.4,7,197.4,2.6
2001,1,7.9,0.8,15,141.2,9.7
2001,2,9.4,1.2,15,83.2,1.4
2001,3,9.9,3.4,5,135.0,2.3
2001,4,12.3,4.4,4,73.8,1.8
2001,5,18.0,6.8,0,23.4,1.5
2001,6,19.9,8.8,0,31.8,1.3
2001,7,22.3,12.0,0,54.8,3.9
2001,8,21.6,12.3,0,48.0,7.5
2001,9,19.0,9.6,0,46.4,1.5
2001,10,17.0,11.0,0,150.4,7.6
2001,11,11.6,2.6,10,35.4,7.8
2001,12,7.8,-0.4,20,28.4,7.4
2002,1,9.9,3.0,10,77.6,2.8
2002,2,11.0,4.4,6,101.2,8.4
2002,3,12.1,3.6,7,50.2,5.7
2002,4,15.0,4.7,2,38.8,5.3
2002,5,16.3,8.1,0,84.2,3.1
2002,6,18.4,10.0,0,39.4,8.9
2002,7,20.7,11.6,0,71.4,9.2
2002,8,21.8,12.0,0,68.4,9.2
2002,9,20.0,8.9,0,49.4,6.2
2002,10,15.2,6.9,3,105.2,0.7
2002,11,13.0,6.9,0,234.6,5.0
2002,12,9.3,4.7,4,135.8,4.1
2003,1,8.4,0.8,14,81.4,7.2
2003,2,8.6,0.8,15,43.0,1.2
2003,3,13.1,2.8,10,28.8,6.3
2003,4,15.2,4.0,8,17.2,0.4
2003,5,16.2,7.4,0,53.0,5.3
2003,6,20.6,11.0,0,50.2,4.7
2003,7,22.0,12.9,0,65.8,9.4
2003,8,24.9,12.7,0,28.8,8.7
2003,9,20.3,7.9,1,7.4,2.5
2003,10,14.8,4.8,5,81.8,8.5
2003,11,12.5,5.0,5,164.4,6.6
2003,12,9.5,2.5,9,98.6,6.5
2004,1,9.3,2.6,10,103.4,6.8
2004,2,8.9,2.0,11,35.4,5.1
2004,3,10.8,2.4,10,51.6,7.7
2004,4,13.6,4.6,2,74.4,1.0
2004,5,17.4,6.8,0,38.6,9.2
2004,6,21.4,10.6,0,23.8,8.4
2004,7,21.2,11.6,0,46.0,9.2
2004,8,22.1,13.1,0,75.2,5.3
2004,9,20.3,11.2,0,52.2,6.4
2004,10,15.0,7.2,0,154.2,0.2
2004,11,11.7,4.6,4,27.8,4.0
2004,12,9.1,1.0,16,72.8,0.4
2005,1,9.7,3.1,6,55.2,2.1
2005,2,7.8,1.4,12,16.0,8.3
2005,3,11.5,3.2,9,48.2,3.8
2005,4,13.8,4.9,5,54.8,8.2
2005,5,16.1,6.9,1,35.2,0.2
2005,6,20.6,11.0,0,57.8,5.3
2005,7,22.0,12.8,0,53.8,8.7
2005,8,22.0,10.6,0,47.2,9.3
2005,9,20.8,10.1,0,31.4,5.1
2005,10,17.1,10.4,0,112.4,9.3
2005,11,10.8,1.5,14,71.6,1.9
2005,12,8.6,-1.0,20,71.6,1.5
2006,1,8.0,1.6,12,20.0,4.3
2006,2,7.2,0.3,13,59.6,6.3
2006,3,9.3,2.2,9,64.5,1.0
2006,4,13.7,4.8,5,27.8,3.2
2006,5,16.7,8.3,0,96.7,3.0
2006,6,21.4,10.4,0,15.6,2.3
2006,7,25.5,13.4,0,55.5,7.0
2006,8,22.1,13.0,0,16.2,6.6
2006,9,21.3,12.6,0,43.6,5.4
2006,10,17.4,10.2,0,129.0,2.4
2006,11,13.1,4.0,8,126.4,3.1
2006,12,9.9,4.0,8,117.0,9.5
2007,1,10.4,4.6,4,80.8,8.5
2007,2,10.2,3.8,8,112.4,1.4
2007,3,12.3,3.0,7,69.2,4.3
2007,4,18.5,5.6,2,4.8,8.6
2007,5,17.7,8.5,0,103.4,4.1
2007,6,19.8,12.0,0,97.4,9.6
2007,7,19.9,11.7,0,118.6,5.3
2007,8,20.9,10.8,0,44.0,8.8
2007,9,19.5,8.9,0,28.4,0.8
2007,10,15.6,6.5,2,33.4,8.1
2007,11,12.0,2.7,8,108.4,7.3
2007,12,9.2,1.9,12,86.9,3.6
2008,1,10.5,3.4,6,114.8,8.8
2008,2,10.9,-0.5,18,38.6,1.3
2008,3,10.9,2.9,8,95.6,9.8
2008,4,13.3,3.8,7,74.6,8.6
2008,5,19.3,9.1,0,82.6,8.2
2008,6,19.6,9.8,0,40.0,0.2
2008,7,21.1,12.0,0,72.6,0.2
2008,8,19.9,13.2,0,77.8,6.0
2008,9,18.4,9.0,0,93.2,9.9
2008,10,14.6,5.1,5,79.8,8.5
2008,11,11.1,4.6,5,83.4,8.0
2008,12,7.7,-0.2,17,45.0,2.3
2009,1,7.1,-0.4,19,96.6,6.4
2009,2,8.3,1.0,11,88.6,3.7
2009,3,12.3,1.4,15,44.0,6.1
2009,4,14.2,5.1,2,50.0,4.6
2009,5,17.7,7.7,0,26.2,7.2
2009,6,21.0,10.2,0,61.0,0.8
2009,7,20.4,13.0,0,75.0,7.3
2009,8,21.2,12.4,0,28.6,1.4
2009,9,19.8,9.4,0,40.6,1.1
2009,10,16.3,8.2,1,79.4,2.0
2009,11,12.9,6.9,0,163.2,9.3
2009,12,7.6,-0.2,19,147.2,4.4
2010,1,5.2,-2.1,20,60.0,9.5
2010,2,7.3,0.6,9,76.4,0.1
2010,3,10.5,2.0,11,72.0,0.9
2010,4,14.6,2.8,5,34.4,6.3
2010,5,17.0,5.5,2,15.8,9.7
2010,6,22.0,9.2,0,28.6,8.8
2010,7,22.8,13.3,0,34.0,6.4
2010,8,21.0,11.2,0,94.8,5.2
2010,9,19.0,9.0,0,58.2,3.7
2010,10,15.6,6.5,7,65.2,6.4
2010,11,9.8,2.7,12,107.4,7.9
2010,12,3.9,-3.4,27,60.4,7.5
2011,1,7.7,1.8,9,95.6,2.3
2011,2,10.4,3.0,8,75.8,2.8
2011,3,12.3,1.8,10,19.0,5.0
2011,4,18.3,5.7,0,6.8,7.5
2011,5,17.7,7.6,0,25.0,9.2
2011,6,19.5,9.5,0,84.2,2.7
2011,7,20.6,10.4,0,41.2,8.5
2011,8,20.4,11.6,0,133.6,5.0
2011,9,19.8,11.3,0,60.6,3.9
2011,10,17.3,8.6,1,49.2,8.4
2011,11,14.0,6.9,2,46.4,6.2
2011,12,10.6,3.2,6,93.0,9.3
2012,1,10.1,2.3,11,48.2,0.4
2012,2,8.4,0.4,14,22.2,5.9
2012,3,14.4,2.0,7,36.0,8.8
2012,4,12.7,2.8,11,148.6,0.4
2012,5,17.6,7.8,1,35.0,8.2
2012,6,17.8,11.3,0,135.8,1.4
2012,7,20.0,11.4,0,137.4,8.2
2012,8,21.2,13.1,0,54.6,1.9
2012,9,18.9,8.1,0,85.8,7.1
2012,10,14.4,7.4,2,131.4,1.3
2012,11,11.2,3.4,7,132.4,6.8
2012,12,9.9,2.0,12,161.2,8.3
2013,1,7.4,2.5,8,126.4,7.7
2013,2,7.0,0.2,12,41.0,9.8
2013,3,7.2,0.4,14,93.2,0.3
2013,4,12.0,3.0,10,48.0,9.9
2013,5,15.9,5.7,1,58.2,3.2
2013,6,19.6,9.9,0,31.2,0.4
2013,7,25.4,12.3,0,29.2,8.0
2013,8,22.9,11.8,0,23.0,3.9
2013,9,19.9,9.3,0,40.8,4.8
2013,10,16.9,9.4,1,163.6,7.0
2013,11,10.8,2.9,9,67.0,7.7
2013,12,10.8,2.1,10,192.2,0.8
2014,1,10.3,2.5,11,247.4,9.6
2014,2,10.4,4.0,2,184.0,0.0
2014,3,12.9,2.7,6,53.2,9.5
2014,4,14.7,5.5,0,115.2,5.7
2014,5,16.8,8.1,0,102.4,1.5
2014,6,21.1,10.6,0,33.8,8.0
2014,7,24.5,12.4,0,24.0,4.9
2014,8,21.2,10.6,0,89.8,7.9
2014,9,21.3,9.9,0,20.0,2.2
2014,10,16.8,9.7,0,138.2,1.2
2014,11,12.6,5.9,3,163.6,8.8
2014,12,9.6,1.3,14,45.6,3.5
2015,1,9.6,1.4,11,101.6,7.9
2015,2,8.2,-0.2,16,53.0,0.6
2015,3,11.1,2.5,9,25.4,0.7
2015,4,15.6,3.9,5,20.2,7.7
2015,5,16.2,7.6,0,69.0,9.9
2015,6,20.5,9.7,0,29.6,0.7
2015,7,21.5,12.1,0,59.2,5.4
2015,8,20.5,11.8,0,138.8,5.8
2015,9,18.7,8.0,0,74.2,0.4
2015,10,15.5,7.1,1,68.0,5.2
2015,11,13.4,7.9,3,85.4,9.8
2015,12,13.5,9.2,0,89.2,9.3
2016,1,10.0,2.1,10,190.8,6.7
2016,2,9.6,2.7,10,63.2,4.6
2016,3,10.9,1.4,11,105.6,2.4
2016,4,12.9,3.2,6,56.8,6.2
2016,5,18.0,7.5,2,58.8,2.9
2016,6,19.6,11.4,0,85.8,6.0
2016,7,22.4,12.6,0,12.0,0.0
2016,8,23.1,12.3,0,41.0,0.2
2016,9,20.7,12.0,0,85.2,5.8
2016,10,15.5,6.1,0,56.6,5.7
2016,11,11.1,2.0,9,104.4,7.1
2016,12,10.3,2.1,10,32.2,5.8
2017,1,8.1,-0.1,17,103.4,4.1
2017,2,9.9,3.7,7,48.4,6.0
2017,3,13.2,5.5,1,60.5,7.0
2017,4,15.0,3.2,5,12.6,3.8
2017,5,18.3,8.3,0,58.0,5.9
2017,6,21.9,11.4,0,57.6,7.3
2017,7,22.1,13.0,0,89.8,0.4
2017,8,21.0,11.4,0,52.2,3.4
2017,9,18.1,9.5,0,93.6,1.8
2017,10,16.6,8.8,2,42.2,1.3
2017,11,11.8,2.2,9,74.2,9.1
2017,12,9.7,1.6,13,104.8,8.5
2018,1,10.2,2.9,7,76.4,4.0
2018,2,7.4,-1.3,20,42.4,8.3
2018,3,9.4,2.2,8,148.3,4.2
2018,4,14.3,6.8,0,75.4,4.6
