yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.1,3.5,1,44.5,11.8
1996,2,4.4,0.4,8,118.6,43.0
1996,3,5.4,1.6,6,70.8,55.6
1996,4,8.3,3.9,3,59.2,112.4
1996,5,9.1,3.6,2,51.9,200.3
1996,6,12.3,7.9,0,33.1,117.2
1996,7,13.3,8.9,0,85.2,94.2
1996,8,14.7,11.1,0,58.7,75.6
1996,9,13.1,8.9,0,49.1,124.4
1996,10,10.8,7.2,0,142.9,56.8
1996,11,5.8,1.1,11,170.5,56.6
1996,12,5.4,1.0,13,107.5,40.9
1997,1,6.4,2.9,4,67.2,44.6
1997,2,6.7,1.4,5,175.1,50.6
1997,3,6.9,2.8,5,151.9,70.3
1997,4,7.6,2.8,4,110.4,92.5
1997,5,9.8,4.8,1,49.7,172.4
1997,6,12.2,7.5,0,41.0,129.3
1997,7,15.2,10.5,0,32.3,131.8
1997,8,16.7,11.8,0,75.9,202.1
1997,9,13.0,8.7,0,86.6,109.3
1997,10,9.9,5.7,0,101.0,71.6
1997,11,8.5,6.0,0,108.4,11.2
1997,12,7.5,3.8,2,96.8,27.8
1998,1,6.5,2.5,5,105.3,22.1
1998,2,7.5,3.3,3,214.9,33.9
1998,3,6.6,1.9,10,144.8,74.4
1998,4,7.6,3.1,7,50.8,170.3
1998,5,11.1,6.0,0,31.4,199.6
1998,6,11.8,6.9,0,105.0,202.8
1998,7,12.9,9.6,0,75.9,82.8
1998,8,12.9,9.5,0,79.3,86.4
1998,9,13.1,9.8,0,116.5,63.1
1998,10,9.3,5.5,0,182.3,84.4
1998,11,7.4,3.4,2,160.7,57.7
1998,12,7.0,2.6,7,170.0,20.5
1999,1,5.7,2.4,5,139.2,34.1
1999,2,4.7,0.5,12,202.8,66.5
1999,3,7.0,2.9,1,93.9,111.4
1999,4,8.6,4.0,5,77.0,148.4
1999,5,9.9,5.3,0,86.5,206.1
1999,6,11.7,8.0,0,89.4,110.9
1999,7,13.7,9.4,0,53.0,124.7
1999,8,14.4,9.7,0,74.2,154.7
1999,9,13.8,10.6,0,143.8,89.2
1999,10,10.7,6.9,0,156.2,59.8
1999,11,8.9,4.8,2,151.3,31.8
1999,12,5.2,0.9,8,274.2,12.6
2000,1,6.5,2.4,4,156.7,29.8
2000,2,6.1,1.3,7,160.7,68.4
2000,3,6.9,2.2,8,158.3,85.6
