yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.3,3.3,3,42.8,14.3
1996,2,6.0,-0.4,16,36.0,100.2
1996,3,6.4,1.0,8,60.8,61.4
1996,4,11.1,4.3,1,69.0,121.4
1996,5,12.0,4.2,3,35.6,191.2
1996,6,18.3,8.5,0,21.0,237.1
1996,7,19.9,10.2,0,37.6,208.9
1996,8,20.0,11.0,0,32.8,196.6
1996,9,16.7,9.4,0,18.4,158.9
1996,10,14.1,7.2,0,89.6,103.5
1996,11,7.3,0.9,16,92.6,105.5
1996,12,5.5,0.4,14,69.8,41.4
1997,1,5.8,0.1,15,21.3,41.9
1997,2,8.6,1.7,8,72.2,98.9
1997,3,11.5,3.2,4,27.2,149.6
1997,4,13.2,4.3,4,4.2,146.2
1997,5,13.6,5.9,2,87.2,186.5
1997,6,16.0,8.7,0,81.4,165.5
1997,7,19.4,11.3,0,48.6,195.9
1997,8,20.5,12.4,0,24.2,173.5
1997,9,17.0,8.2,0,32.2,181.1
1997,10,13.7,5.2,4,29.8,141.2
1997,11,10.2,5.5,0,90.6,43.1
1997,12,7.8,2.6,7,115.4,34.2
1998,1,7.1,0.9,13,78.0,51.4
1998,2,10.7,5.0,4,9.2,67.8
1998,3,10.7,2.6,9,53.2,112.7
1998,4,9.7,3.2,6,86.5,122.7
1998,5,14.5,6.2,1,46.4,153.7
1998,6,16.3,8.6,0,63.2,177.8
1998,7,18.3,10.3,0,91.8,139.0
1998,8,18.3,10.5,0,46.7,165.9
1998,9,16.4,10.2,0,60.4,110.7
1998,10,11.8,5.3,3,108.6,140.1
1998,11,8.6,1.5,11,57.0,79.4
1998,12,8.1,1.2,12,36.7,57.6
1999,1,6.6,1.3,9,78.0,61.6
1999,2,7.5,0.8,12,28.0,134.3
1999,3,10.1,2.4,6,24.0,125.5
1999,4,11.6,4.2,4,46.2,155.5
1999,5,13.8,7.0,0,56.6,191.9
1999,6,16.7,8.6,0,63.4,186.2
1999,7,19.2,11.0,0,34.4,186.9
1999,8,17.9,9.9,0,21.0,163.9
1999,9,18.7,10.4,0,76.8,132.9
1999,10,13.7,7.0,0,41.6,105.1
1999,11,10.6,3.6,4,46.8,80.2
1999,12,6.0,-0.2,17,86.8,77.3
2000,1,8.4,1.5,10,24.2,96.7
2000,2,8.4,1.6,8,30.0,95.3
2000,3,11.1,3.6,7,33.8,126.6
2000,4,10.7,3.3,5,85.0,142.8
2000,5,14.0,5.9,0,75.0,228.2
2000,6,16.1,8.4,0,57.6,181.8
2000,7,17.7,10.2,0,16.0,165.0
2000,8,19.8,10.9,0,55.2,169.5
2000,9,16.5,9.6,0,126.2,124.2
2000,10,13.2,5.3,1,81.6,120.8
2000,11,9.0,2.5,5,95.8,97.3
2000,12,6.7,1.9,10,107.2,51.3
2001,1,5.4,-1.0,18,34.3,69.8
2001,2,6.5,-0.5,14,88.8,99.7
2001,3,7.2,0.3,12,56.1,120.5
2001,4,10.6,3.0,5,43.2,159.8
2001,5,15.6,6.3,0,14.5,245.5
2001,6,16.7,8.4,0,63.0,201.5
2001,7,18.9,11.0,0,43.6,149.7
2001,8,19.0,10.6,0,89.2,147.6
2001,9,16.1,8.3,0,36.8,121.2
2001,10,15.1,9.4,0,100.0,94.7
2001,11,10.4,3.3,6,26.2,79.5
2001,12,6.3,-0.1,18,34.2,64.4
2002,1,7.8,1.0,8,97.6,50.1
2002,2,8.4,1.6,5,78.0,80.5
2002,3,10.0,2.6,6,48.1,123.6
2002,4,11.7,4.0,4,28.6,151.0
2002,5,14.7,7.0,1,42.9,176.1
2002,6,17.2,9.8,0,73.4,166.2
2002,7,18.1,10.3,0,145.8,145.9
2002,8,19.1,12.1,0,88.2,148.9
2002,9,17.0,9.5,0,21.8,125.4
2002,10,11.6,5.0,3,169.6,90.9
2002,11,9.9,3.9,3,106.6,65.8
2002,12,7.0,3.7,5,89.4,20.2
2003,1,6.8,1.4,13,58.7,66.5
2003,2,6.8,-0.1,13,15.0,102.7
