yyyy,mm,tmax,tmin,af,rain,sun
1996,1,5.2,2.6,6,11.0,22.6
1996,2,5.1,0.3,14,35.8,75.3
1996,3,5.7,1.8,7,17.3,86.5
1996,4,11.7,5.2,2,3.3,190.7
1996,5,12.9,6.2,0,30.5,161.4
1996,6,19.2,10.1,0,4.4,207.7
1996,7,20.9,12.8,0,58.3,195.5
1996,8,20.8,13.9,0,128.7,202.1
1996,9,17.2,11.7,0,18.6,142.0
1996,10,14.7,9.0,0,45.2,119.8
1996,11,9.3,3.5,6,105.5,81.2
1996,12,5.7,1.8,8,38.9,45.9
1997,1,4.3,0.8,11,6.1,49.7
1997,2,9.5,3.6,3,36.4,69.7
1997,3,11.4,4.9,1,12.5,137.1
1997,4,12.2,5.3,1,19.5,183.1
1997,5,15.3,8.4,0,47.5,229.5
1997,6,16.9,11.8,0,95.6,145.2
1997,7,20.1,13.4,0,35.2,206.3
1997,8,22.7,16.4,0,34.6,238.6
1997,9,19.0,12.4,0,11.2,174.1
1997,10,14.4,8.0,3,47.5,141.8
1997,11,11.3,6.7,0,71.8,60.7
1997,12,8.5,4.3,0,104.6,22.4
1998,1,7.9,3.7,3,67.0,46.7
1998,2,10.4,4.1,4,9.8,110.5
1998,3,11.0,5.2,1,53.7,78.5
1998,4,11.2,5.9,1,83.3,126.8
1998,5,15.7,9.6,0,15.9,212.3
1998,6,18.9,12.1,0,104.4,141.5
1998,7,19.8,12.8,0,54.5,169.4
1998,8,20.5,12.6,0,29.2,204.4
1998,9,17.8,12.7,0,33.6,137.5
1998,10,13.6,8.5,0,98.2,104.7
1998,11,8.3,2.9,4,75.8,86.2
1998,12,8.2,3.4,5,90.7,30.4
1999,1,8.2,3.3,3,53.7,62.4
1999,2,7.3,1.6,6,48.5,90.0
1999,3,10.0,4.7,0,52.0,104.6
1999,4,13.0,6.2,2,39.8,206.6
1999,5,16.6,10.0,0,29.6,215.0
1999,6,18.0,10.8,0,101.6,192.7
1999,7,21.3,14.6,0,24.2,239.3
1999,8,20.7,13.8,0,122.4,190.0
1999,9,19.7,13.9,0,54.9,149.9
1999,10,14.4,9.0,0,32.2,144.2
1999,11,10.5,6.1,0,41.2,55.5
1999,12,7.2,2.1,8,71.4,60.3
2000,1,7.7,2.6,2,18.1,56.9
2000,2,8.9,3.2,3,45.7,105.6
2000,3,10.6,4.7,2,12.5,111.6
2000,4,11.6,5.8,0,74.0,161.9
2000,5,15.3,9.1,0,84.0,202.6
2000,6,19.2,12.0,0,17.6,193.1
2000,7,18.0,12.1,0,60.1,93.4
2000,8,21.0,13.9,0,43.8,226.7
2000,9,19.1,13.2,0,88.0,129.1
2000,10,13.8,8.6,0,134.6,88.4
2000,11,10.2,4.8,0,86.2,73.6
2000,12,7.9,4.4,7,56.8,39.4
2001,1,6.3,1.9,10,51.2,70.9
2001,2,7.6,1.8,10,84.6,68.2
2001,3,8.2,3.0,3,80.2,73.7
2001,4,11.2,5.1,0,68.3,162.4
2001,5,15.6,9.2,0,38.1,241.0
2001,6,18.2,10.4,0,64.9,169.2
2001,7,21.4,14.1,0,59.2,210.3
2001,8,21.5,14.5,0,78.2,205.4
2001,9,16.8,10.7,0,122.0,122.0
2001,10,16.6,11.4,0,55.6,110.4
2001,11,10.4,4.7,0,62.3,79.6
2001,12,6.9,2.3,7,32.5,59.2
2002,1,8.0,3.0,4,34.2,51.9
2002,2,10.0,4.2,3,51.3,101.4
2002,3,0.0,0.0,0,0.0,0.0
2002,4,0.0,0.0,0,0.0,0.0
2002,5,0.0,0.0,0,0.0,0.0
2002,6,20.1,11.8,0,30.1,172.4
2002,7,20.5,13.2,0,45.0,184.9
2002,8,22.2,14.7,0,27.1,192.9
2002,9,19.1,12.4,0,26.2,167.9
2002,10,13.7,7.9,0,117.9,97.5
2002,11,11.4,6.5,0,90.5,64.4
2002,12,8.0,4.8,7,87.1,23.1
2003,1,6.9,2.4,7,98.0,52.9
2003,2,5.9,2.0,2,9.6,113.8
2003,3,10.0,3.8,0,12.4,157.1
2003,4,12.8,6.0,0,29.1,237.0
2003,5,16.8,8.6,0,65.6,205.7
2003,6,20.8,12.8,0,36.3,171.9
2003,7,21.6,14.9,0,53.5,218.0
2003,8,0.0,0.0,0,9.2,0.0
2003,9,19.4,9.9,0,31.8,231.1
2003,10,13.2,7.0,2,63.7,148.6
2003,11,11.5,6.5,3,71.4,57.7
2003,12,8.2,3.2,5,68.0,42.9
2004,1,7.2,2.4,8,98.1,43.8
2004,2,7.9,3.8,3,40.1,65.5
2004,3,9.5,4.0,0,28.5,125.6
2004,4,12.8,6.3,0,55.0,171.5
2004,5,15.6,8.6,0,39.0,224.3
2004,6,20.0,11.9,0,52.8,189.6
2004,7,19.6,13.2,0,79.7,175.7
2004,8,20.9,15.1,0,153.0,169.1
2004,9,18.8,12.0,0,27.4,163.6
2004,10,14.7,8.9,3,57.5,102.4
2004,11,10.4,5.5,5,39.4,38.6
2004,12,8.1,2.5,2,23.3,55.1
2005,1,8.6,3.5,5,36.2,75.4
2005,2,6.5,2.1,3,57.8,54.6
2005,3,9.7,4.2,0,35.9,68.5
2005,4,12.9,5.9,0,35.4,156.1
2005,5,15.4,8.4,0,60.1,225.8
2005,6,19.0,11.5,0,38.2,191.7
2005,7,19.9,13.7,0,79.6,132.7
2005,8,20.0,12.5,0,27.7,181.4
2005,9,19.7,13.0,0,75.1,151.4
2005,10,17.0,12.1,5,66.3,115.6
2005,11,10.3,4.1,5,48.3,80.3
2005,12,7.0,2.1,4,63.8,49.7
2006,1,6.5,2.9,4,9.9,49.6
2006,2,6.3,2.2,12,69.7,58.1
2006,3,7.9,2.0,1,33.2,112.2
2006,4,12.6,5.0,0,30.4,163.7
2006,5,15.9,9.0,0,73.4,154.8
2006,6,18.5,11.4,0,16.7,246.0
2006,7,23.7,16.0,0,23.2,290.7
2006,8,0.0,0.0,0,157.4,0.0
2006,9,0.0,0.0,0,89.7,0.0
2006,10,16.9,11.8,0,74.9,113.7
2006,11,12.1,6.0,0,57.3,101.4
2006,12,9.2,4.3,0,46.0,37.7
2007,1,10.0,4.8,7,57.8,60.1
2007,2,8.8,3.9,3,79.9,58.1
2007,3,11.2,4.6,6,56.2,171.0
2007,4,15.2,7.3,1,0.2,225.7
2007,5,16.2,9.4,0,150.0,156.1
2007,6,18.7,12.3,0,102.7,130.0
2007,7,20.8,12.9,0,70.9,190.0
2007,8,0.0,0.0,0,33.3,0.0
2007,9,18.5,11.2,0,34.1,152.0
2007,10,14.7,8.4,0,48.7,95.2
2007,11,10.4,4.5,2,54.6,67.4
2007,12,8.1,3.4,4,44.5,38.8
2008,1,9.4,4.5,0,58.8,51.8
2008,2,9.4,2.0,7,27.4,124.7
2008,3,9.2,3.4,4,91.8,107.3
2008,4,12.5,4.7,3,45.5,184.2
2008,5,16.0,9.9,0,49.9,223.1
2008,6,19.1,11.3,0,40.9,210.0
2008,7,21.1,13.5,0,30.6,267.8
2008,8,21.4,14.1,0,72.4,153.0
2008,9,18.2,10.8,0,68.4,129.1
2008,10,14.2,6.5,1,86.5,106.3
2008,11,10.1,5.5,1,102.8,39.7
2008,12,6.7,2.4,7,32.8,48.7
2009,1,5.6,1.2,11,42.3,44.2
2009,2,7.1,2.0,9,54.8,45.4
2009,3,10.9,2.9,5,42.7,120.2
2009,4,13.6,6.6,0,5.9,219.3
2009,5,16.5,9.3,0,38.3,235.7
2009,6,18.1,11.6,0,64.2,220.3
2009,7,21.2,13.2,0,85.3,223.2
2009,8,22.8,14.1,0,18.7,250.8
2009,9,19.5,11.9,0,13.6,172.9
2009,10,15.3,9.3,0,40.2,81.6
2009,11,12.4,6.3,0,75.4,83.1
2009,12,7.0,2.3,8,99.8,41.3
2010,1,3.9,0.0,13,56.1,44.7
2010,2,5.3,0.6,12,89.1,53.9
2010,3,9.9,2.9,6,29.4,111.7
2010,4,12.9,4.3,1,18.8,220.8
2010,5,14.6,6.9,0,11.1,243.9
2010,6,18.7,11.4,0,25.2,222.6
2010,7,23.6,14.9,0,51.0,226.6
2010,8,20.2,12.9,0,140.5,163.2
2010,9,18.4,11.2,0,75.6,130.8
2010,10,14.5,8.4,0,64.5,84.9
2010,11,9.2,4.3,6,100.5,55.8
2010,12,3.7,-1.4,19,21.8,37.9
2011,1,7.0,2.7,3,61.8,27.2
2011,2,9.0,4.1,2,36.5,46.5
2011,3,9.8,3.2,3,5.2,93.7
2011,4,15.8,7.0,1,6.0,211.8
2011,5,17.9,9.0,0,9.2,255.8
