yyyy,mm,tmax,tmin,af,rain,sun
1996,1,5.5,2.4,7,69.6,0
1996,2,4.8,-1.1,19,117.8,0
1996,3,6.3,1.2,9,21.1,0
1996,4,10.9,3.6,4,48.3,0
1996,5,12.4,3.3,6,36.3,0
1996,6,17.4,7.4,0,19.5,0
1996,7,19.3,9.9,0,43.3,0
1996,8,19.6,10.4,0,53.9,0
1996,9,16.4,7.9,0,41.1,0
1996,10,13.5,7.2,0,88.6,0
1996,11,7.2,1.0,14,95.8,0
1996,12,4.5,-0.4*,15*,38.2,0
1997,1,5.0,-1.4,21,6.1,0
1997,2,8.1,2.7,4,182.1,0
1997,3,10.6,3.4,5,46.2,0
1997,4,12.0,3.6,4,22.5,0
1997,5,15.3,5.0,4,75.4,0
1997,6,16.6,8.7,0,60.4,0
1997,7,20.0,10.5,0,83.2,0
1997,8,21.0,11.3,0,40.1,0
1997,9,16.1,7.8,0,37.9,0
1997,10,12.3,5.1,5,39.6,0
1997,11,10.0,4.8,1,86.7,0
1997,12,7.6,1.9,9,117.3,0
1998,1,6.6,1.5,8,119.3,0
1998,2,9.7,5.0,3,48.5,0
1998,3,9.9,3.6,5,84.4,0
1998,4,10.1,2.9,5,63.5,0
1998,5,16.8,7.4,0,44.1,0
1998,6,16.0,8.9,0,98.5,0
1998,7,17.1,10.7,0,107.9,0
1998,8,17.7,10.7,0,49.9,0
1998,9,17.1,9.5,0,65.5,0
1998,10,12.1,5.7,2,184.3,0
1998,11,7.8,1.7,10,83.8,0
1998,12,8.2,1.6,8,73.7,0
1999,1,6.9,1.5,5,155.8,0
1999,2,6.9,1.5,9,35.9,0
1999,3,8.9,3.1,5,63.8,0
1999,4,12.3,3.9,5,79.8,0
1999,5,15.8,7.1,0,66.9,0
1999,6,16.3,8.5,0,73.8,0
1999,7,20.4,11.3,0,27.9,0
1999,8,18.6,9.5,0,39.3,0
1999,9,18.0,8.9,0,122.9,0
1999,10,13.1,5.3,3,66.3,0
1999,11,9.5,3.7,5,85.6,0
1999,12,5.9,0.7,11,197.8,0
2000,1,6.8,1.1,13,102.9,0
2000,2,7.6,2.6,4,115.3,0
2000,3,10.1,3.7,3,65.2,0
2000,4,10.6,2.6,8,71.3,0
2000,5,16.0,5.6,0,38.1,0
2000,6,16.8,9.2,0,86.9,0
2000,7,18.7,9.3,0,49.7,0
2000,8,18.7,9.7,0,51.6,0
2000,9,16.7,9.3,0,157.8,0
2000,10,11.9,5.4,1,166.2,0
2000,11,8.2,3.3,2,146.9,0
2000,12,7.4,2.0,12,146.9,0
2001,1,5.0,-0.4,17,73.7,0
2001,2,6.2,-1.1,20,84.5,0
2001,3,7.0,-0.1*,12*,31.4,0
2001,4,10.3,2.5,3,72.3,0
2001,5,17.1,5.2,4,15.9,0
2001,6,16.5,8.0,0,46.8,0
2001,7,20.0,10.9,0,31.0,0
2001,8,19.2,9.7,0,50.9,0
2001,9,15.6,7.2,0,93.6,0
2001,10,15.1,8.2,0,150.8,0
2001,11,9.9,2.1,11,67.1,0
2001,12,6.6,-2.0,25,48.7,0
2002,1,8.0,0.8,10,100.8,0
2002,2,8.2,1.5,8,213.0,0
2002,3,10.6,1.5,11,54.3,0
2002,4,12.8,1.9,9,48.8,0
2002,5,14.5,5.9,1,102.4,0
2002,6,16.6,8.4,0,73.9,0
2002,7,17.8,8.9,0,111.0,0
2002,8,19.8,11.3,0,59.3,0
2002,9,17.1,8.1,0,50.6,0
2002,10,12.2,3.1,8,146.5,0
2002,11,9.8,3.8,1,106.8,0
2002,12,6.3,2.1,5,86.9,0
2003,1,6.3,0.9,13,76.1,0
2003,2,7.1,-0.9,14,28.8,0
2003,3,11.5,1.2,11,48.2,0
2003,4,13.9,3.4,3,48.9,0
2003,5,14.4,7.1,0,77.6,0
2003,6,18.6,9.6,0,69.5,0
2003,7,20.1,12.1,0,38.9,0
2003,8,20.9,10.7,0,6.5,0
2003,9,17.4,7.6,0,55.7,0
2003,10,11.9,3.0,9,26.0,0
2003,11,10.5,3.9,5,101.8,0
2003,12,7.6,0.0,18,97.4,0
2004,1,6.9,1.7,8,104.4,0
2004,2,7.4,0.6,15,65.8,0
2004,3,8.9,1.6,12,53.6,0
2004,4,12.0,5.3,0,35.5,0
2004,5,16.4,5.8,0,33.4,0
2004,6,17.8,9.4,0,72.5,0
2004,7,18.4,10.1,0,44.9,0
2004,8,19.8,12.0,0,251.6,0
2004,9,16.8,8.7,0,86.3,0
2004,10,12.1,5.7,0,143.6,0
2004,11,9.4,4.0,7,32.1,0
2004,12,8.5,1.5,10,83.0,0
2005,1,8.1,2.8,4,153.4,0
2005,2,6.6,1.3,9,45.0,0
2005,3,9.9,3.3,6,48.6,0
2005,4,11.6,3.6,1,83.4,0
2005,5,14.1,5.7,2,55.2,0
2005,6,18.3,9.4,0,39.5,0
2005,7,19.3,10.6,0,37.9,0
2005,8,18.8,9.5,0,47.7,0
2005,9,17.1,8.7,1,69.2,0
2005,10,13.8,8.2,0,132.5,0
2005,11,8.1,0.9,15,99.0,0
2005,12,6.7,0.2,13,45.5,0
2006,1,5.6,0.6,11,34.4,0
2006,2,6.1,1.0,8,63.9,0
2006,3,6.7,0.5,13,73.9,0
2006,4,10.9,3.6,3,56.1,0
2006,5,15.0,6.5,0,99.4,0
2006,6,18.8,9.7,0,46.6,0
2006,7,23.3,11.5,0,70.7,0
2006,8,18.1,10.1,0,83.0,0
2006,9,19.0,10.5,0,65.6,0
2006,10,14.6,7.5,1,104.7,0
2006,11,10.6,3.9,4,134.8,0
2006,12,7.5,1.8,12,204.8,0
2007,1,9.2,2.2,8,132.6,0
2007,2,8.1,1.2,9,41.8,0
2007,3,9.9,2.2,8,78.4,0
2007,4,15.1,4.4,6,13.6,0
2007,5,15.1,5.9,0,57.4,0
2007,6,17.9,9.0,0,144.6,0
2007,7,18.1,9.9,0,162.4,0
2007,8,18.1,9.0,0,54.0,0
2007,9,16.2,7.3,1,48.0,0
2007,10,13.8,5.1,2,46.4,0
2007,11,10.4,3.7,6,56.1,0
2007,12,7.3,-0.1,16,117.5,0
2008,1,8.1,1.8,7,189.0,0
2008,2,9.4,0.5,11,56.6,0
2008,3,8.3,1.3,9,95.6,0
2008,4,10.5,2.6,7,62.7,0
2008,5,17.1,6.4,0,23.4,0
2008,6,16.7,7.6,0,72.5,0
2008,7,19.5,11.0,0,98.0,0
2008,8,18.8,10.9,0,106.4,0
2008,9,15.7,7.9,0,111.1,0
2008,10,11.6,4.3,3,128.1,0
2008,11,8.8,2.9,5,57.6,0
2008,12,6.1,-1.0,20,84.8,0
2009,1,5.7,-0.5,14,115.4,0
2009,2,6.5,0.7,14,16.7,0
2009,3,9.4,2.0,7,51.1,0
2009,4,13.7,3.0,4,30.5,0
2009,5,14.6,6.1,0,70.5,0
2009,6,18.7,7.4,0,37.7,0
2009,7,18.9,10.4,0,181.6,0
