yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.6,3.1,7,35.5,9.3
1996,2,6.2,-0.1,17,60.8,3.4
1996,3,8.4,1.8,9,27.1,6.4
1996,4,13.8,4.8,5,49.3,8.3
1996,5,14.1,5.6,1,35.7,5.7
1996,6,21.2,10.2,0,23.7,0.7
1996,7,23.3,12.7,0,25.5,6.6
1996,8,22.4,12.5,0,53.1,1.6
1996,9,18.4,10.3,0,16.1,5.3
1996,10,15.8,8.6,0,33.0,0.8
1996,11,9.6,2.9,10,81.6,1.0
1996,12,5.5,0.9,13,16.2,5.5
1997,1,5.1,-0.2,16,11.9,1.4
1997,2,10.4,4.2,3,76.5,4.2
1997,3,13.3,5.5,0,7.2,0.2
1997,4,14.5,4.9,2,17.5,9.9
1997,5,17.4,7.4,1,61.2,1.4
1997,6,18.9,11.3,0,66.7,7.1
1997,7,22.8,12.9,0,25.4,1.7
1997,8,24.9,15.7,0,104.2,2.0
1997,9,19.7,10.7,0,18.5,9.7
1997,10,14.9,6.6,6,57.2,3.8
1997,11,11.7,6.1,1,94.6,7.1
1997,12,9.0,3.6,6,58.7,5.7
1998,1,8.3,2.9,9,60.0,4.0
1998,2,11.5,4.1,4,8.7,3.0
1998,3,11.8,5.4,1,57.4,7.5
1998,4,11.9,5.1,1,107.7,5.8
1998,5,18.7,9.1,0,20.9,9.8
1998,6,19.1,11.5,0,75.9,4.0
1998,7,21.0,12.4,0,29.5,7.0
1998,8,22.4,11.9,0,26.8,5.0
1998,9,19.6,11.8,0,119.4,3.8
1998,10,14.4,8.2,0,116.4,4.5
1998,11,9.3,2.2,7,69.9,6.3
1998,12,9.4,3.2,8,72.7,8.1
1999,1,9.0,3.4,4,91.9,1.1
1999,2,8.6,2.9,5,32.9,1.3
1999,3,11.6,4.8,1,28.8,7.4
1999,4,14.3,6.1,2,57.6,7.6
1999,5,18.2,9.7,0,50.9,3.6
1999,6,19.7,10.1,0,65.3,2.1
1999,7,24.2,13.3,0,7.2,5.4
1999,8,21.6,12.9,0,98.3,9.2
1999,9,20.8,12.4,0,102.1,5.2
1999,10,15.1,7.1,0,70.8,4.8
1999,11,10.8,5.3,0,41.1,1.1
1999,12,8.3,1.7,9,89.8,0.9
2000,1,8.1,2.0,9,19.8,2.1
