yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.8,3.8,3,66.9,13.4
1996,2,6.4,0.4,14,88.7,97.6
1996,3,7.8,2.1,4,60.0,74.8
1996,4,12.0,5.1,2,83.0,99.4
1996,5,13.4,5.6,0,50.1,171.2
1996,6,18.4,9.9,0,34.2,236.1
1996,7,19.2,11.3,0,59.0,151.7
1996,8,20.2,12.5,0,41.9,142.6
1996,9,17.6,10.1,0,49.8,158.5
1996,10,13.8,8.2,0,194.4,78.0
1996,11,7.8,2.3,8,148.6,84.7
1996,12,5.8,1.3,11,82.2,38.4
1997,1,6.0,1.3,12,39.1,24.9
1997,2,9.0,2.8,3,250.2,60.2
1997,3,11.0,4.6,1,83.8,98.5
1997,4,13.5,6.0,0,48.3,116.0
1997,5,15.6,7.0,1,73.0,191.8
1997,6,18.2,10.1,0,66.7,149.8
1997,7,20.3,12.4,0,48.3,144.9
1997,8,21.5,13.6,0,31.3,147.8
1997,9,16.3,9.2,0,114.3,147.4
1997,10,12.7,6.2,3,79.9,110.6
1997,11,10.6,5.9,0,74.9,36.5
1997,12,8.0,3.4,5,146.5,25.1
1998,1,7.6,2.5,7,133.9,41.2
1998,2,10.0,6.3,1,158.2,44.6
1998,3,10.4,4.5,4,82.2,61.5
1998,4,11.3,3.8,4,88.7,121.6
1998,5,16.2,8.1,0,51.1,155.0
1998,6,17.0,9.6,0,89.2,148.6
1998,7,18.1,11.4,0,123.4,135.9
1998,8,18.2,11.2,0,106.5,127.5
1998,9,16.9,10.6,0,74.0,106.5
1998,10,11.8,6.2,2,239.8,106.5
1998,11,9.1,3.4,3,157.5,61.4
1998,12,8.7,3.1,5,121.3,35.4
1999,1,6.9,2.7,4,199.1,41.2
1999,2,7.6,2.2,7,101.5,87.6
1999,3,10.1,3.5,5,107.2,117.0
1999,4,13.3,5.6,3,66.5,123.7
1999,5,16.0,8.4,0,80.9,159.5
1999,6,17.5,9.0,0,97.1,157.7
1999,7,20.2,12.3,0,71.4,167.8
1999,8,19.1,11.3,0,45.4,153.4
1999,9,17.8,11.5,0,143.7,118.7
1999,10,13.1,7.6,0,59.6,82.1
1999,11,10.0,4.5,0,184.2,61.9
1999,12,6.4,0.9,9,297.1,40.1
2000,1,8.2,2.7,7,155.0,67.2
2000,2,8.4,2.8,3,151.1,62.1
2000,3,10.8,4.6,2,82.5,87.2
2000,4,11.8,3.8,2,55.0,124.1
2000,5,17.3,7.5,0,33.8,244.7
2000,6,17.8,9.7,0,58.9,145.8
2000,7,20.5,11.3,0,43.2,189.6
2000,8,20.1,12.1,0,105.7,143.3
2000,9,17.2,10.7,0,161.3,90.1
2000,10,12.6,6.9,0,176.1,91.4
2000,11,9.0,3.9,1,112.5,67.6
2000,12,7.4,2.7,8,178.0,33.4
2001,1,5.6,0.6,13,67.5,49.2
2001,2,7.2,1.2,7,81.8,88.1
2001,3,8.3,1.2,12,60.0,150.0
2001,4,11.9,4.0,0,55.4,135.9
2001,5,18.5,8.1,0,20.9,242.1
2001,6,17.3,9.5,0,49.5,134.7
2001,7,19.3,12.0,0,92.5,109.6
2001,8,19.3,11.6,0,79.5,145.9
2001,9,16.3,9.8,0,63.8,108.3
2001,10,15.1,10.2,0,141.7,75.3
2001,11,10.9,5.2,2,78.4,39.7
2001,12,6.8,0.6,14,52.2,68.6
2002,1,8.7,3.3,7,168.9,32.9
2002,2,8.9,3.1,4,210.0,56.4
2002,3,10.9,3.5,4,105.8,126.4
2002,4,13.3,5.8,0,68.8,126.0
2002,5,16.0,7.8,0,95.0,156.8
2002,6,17.3,10.8,0,111.2,121.2
2002,7,18.4,11.5,0,76.4,94.7
2002,8,20.5,12.4,0,100.8,143.6
2002,9,17.4,9.8,0,56.0,125.6
2002,10,11.5,5.3,2,175.9,77.0
2002,11,10.2,5.4,0,132.4,38.3
2002,12,6.7,2.5,6,44.3,37.7
2003,1,6.9,1.0,14,107.1,51.0
2003,2,7.4,0.7,11,46.4,96.0
2003,3,12.0,2.8,6,59.1,163.0
2003,4,15.0,5.8,0,45.2,186.1
2003,5,15.2,7.8,0,112.3,140.5
2003,6,19.4,11.1,0,72.3,168.4
2003,7,21.0,13.2,0,45.6,149.5
2003,8,21.1,12.5,0,23.9,190.5
2003,9,17.3,9.6,0,69.7,123.8
2003,10,12.1,4.9,0,23.8,123.3
2003,11,11.1,5.9,0,132.9,63.2
2003,12,7.9,1.7,10,132.9,44.0
2004,1,7.9,2.8,10,154.4,37.5
2004,2,8.4,1.9,11,72.0,95.4
2004,3,10.6,3.2,5,71.9,117.6
2004,4,13.8,6.1,0,87.7,116.6
2004,5,17.2,8.1,0,39.7,190.5
2004,6,18.4,10.9,0,99.0,116.0
2004,7,19.4,11.4,0,41.6,147.5
2004,8,20.6,13.0,0,202.6,137.0
2004,9,16.8,10.5,0,130.1,117.8
2004,10,12.3,6.5,0,182.6,83.5
2004,11,10.9,5.4,4,63.2,50.5
2004,12,9.4,3.5,5,155.4,39.6
2005,1,9.4,3.1,5,204.4,54.9
2005,2,7.9,2.5,4,76.5,90.7
2005,3,11.1,4.2,5,77.6,101.2
2005,4,12.9,5.2,0,98.5,148.1
2005,5,15.3,6.7,0,105.4,197.3
2005,6,19.1,11.4,0,65.9,124.8
2005,7,20.1,12.3,0,26.6,152.6
2005,8,19.6,11.6,0,64.7,162.0
2005,9,17.0,10.9,0,103.9,113.6
2005,10,14.4,9.0,0,175.2,50.6
2005,11,9.6,3.4,6,84.0,64.7
2005,12,8.2,2.6,9,68.1,33.4
2006,1,7.6,2.2,7,94.6,29.4
2006,2,8.1,2.1,9,54.2,76.3
2006,3,8.1,2.2,9,126.0,79.4
2006,4,12.3,4.3,2,69.3,166.8
2006,5,16.2,7.3,0,109.3,193.4
2006,6,19.7,10.9,0,48.9,172.5
2006,7,22.7,13.7,0,55.9,210.2
2006,8,19.4,12.0,0,72.3,162.8
2006,9,18.3,12.0,0,119.4,106.0
2006,10,15.1,8.4,0,121.5,84.1
2006,11,10.6,5.5,0,269.7,57.0
2006,12,9.1,4.4,2,298.9,34.9
2007,1,9.6,4.1,3,216.5,44.0
2007,2,8.8,3.3,6,122.8,72.1
2007,3,10.5,4.0,1,114.0,126.3
2007,4,15.6,7.1,0,31.0,188.0
