yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.4,2.8,6.0,15.6,20.8
1996,2,5.9,-0.9,20.0,62.2,73.9
1996,3,7.7,2.0,6.0,24.0,79.2
1996,4,12.9,4.9,2.0,42.1,95.4
1996,5,13.5,5.2,1.0,59.5,174.6
1996,6,18.7,9.5,0.0,47.4,225.9
1996,7,20.3,11.5,0.0,28.7,203.5
1996,8,21.1,12.6,0.0,88.2,164.6
1996,9,17.4,9.8,0.0,37.2,128.4
1996,10,14.7,8.3,0.0,92.6,91.9
1996,11,9.1,2.4,11.0,33.2,71.0
1996,12,5.9,0.4,14.0,46.1,48.2
1997,1,6.0,0.4,15.0,8.2,62.8
1997,2,9.9,3.4,3.0,89.3,56.1
1997,3,12.0,4.4,1.0,36.9,99.6
1997,4,12.9,4.9,4.0,36.4,122.0
1997,5,16.7,7.1,0.0,87.4,226.6
1997,6,17.9,10.2,0.0,12.2,139.2
1997,7,21.1,12.5,0.0,60.2,227.2
1997,8,23.5,14.1,0.0,62.9,192.5
1997,9,17.3,10.7,0.0,43.5,119.0
1997,10,13.7,6.3,3.0,58.9,125.4
1997,11,11.1,6.1,0.0,80.8,31.5
1997,12,8.6,3.2,5.0,88.4,32.5
1998,1,7.8,2.4,6.0,79.2,47.0
1998,2,10.9,4.8,4.0,15.0,67.7
1998,3,11.2,4.8,2.0,6.5,70.1
1998,4,11.2,4.6,4.0,93.8,117.5
1998,5,17.6,9.1,0.0,26.2,186.3
1998,6,17.3,10.7,0.0,26.1,114.9
1998,7,18.2,12.0,0.0,74.8,127.6
1998,8,19.5,12.0,0.0,58.6,164.4
1998,9,18.2,11.3,0.0,44.0,132.8
1998,10,13.4,7.6,0.0,71.4,77.5
1998,11,9.0,3.5,4.0,71.4,55.9
1998,12,8.4,1.9,9.0,50.4,45.6
1999,1,8.3,2.4,6.0,96.4,58.4
1999,2,8.1,2.6,6.0,60.8,69.1
1999,3,10.4,4.5,1.0,59.9,94.5
1999,4,13.4,6.2,4.0,63.0,139.6
1999,5,17.0,9.5,0.0,55.2,140.3
1999,6,17.8,10.3,0.0,67.4,195.4
1999,7,22.4,13.3,0.0,10.4,218.2
1999,8,20.3,12.7,0.0,68.4,141.0
1999,9,19.8,11.9,0.0,10.6,164.6
1999,10,14.4,7.7,0.0,71.2,123.5
1999,11,10.6,4.5,4.0,49.6,67.9
1999,12,7.6,1.8,8.0,44.8,47.3
2000,1,7.8,2.3,6.0,52.2,30.8
2000,2,9.4,3.0,4.0,82.4,79.7
2000,3,10.8,4.2,3.0,39.0,100.9
2000,4,11.9,4.6,1.0,66.6,140.2
2000,5,17.1,8.0,0.0,85.8,223.0
2000,6,18.8,11.1,0.0,84.4,140.6
2000,7,19.4,11.7,0.0,68.4,156.9
2000,8,20.5,12.7,0.0,70.0,167.3
2000,9,18.3,11.2,0.0,15.8,114.5
2000,10,13.3,7.2,0.0,93.6,70.7
2000,11,9.5,4.4,0.0,81.0,33.9
2000,12,7.7,2.9,8.0,71.6,46.5
2001,1,5.9,0.8,9.0,51.4,72.1
2001,2,7.3,0.8,14.0,85.0,69.5
2001,3,8.5,2.1,8.0,33.0,102.8
2001,4,11.0,3.9,1.0,7.0,102.7
2001,5,17.5,8.4,0.0,75.2,202.1
2001,6,18.1,10.3,0.0,28.8,148.4
2001,7,21.3,12.9,0.0,27.6,185.9
2001,8,20.6,12.6,0.0,8.2,171.0
2001,9,16.4,10.3,0.0,83.8,94.6
2001,10,16.5,10.3,0.0,1.2,119.0
2001,11,10.8,4.5,3.0,61.6,41.4
2001,12,6.9,-0.3,18.0,50.8,74.9
2002,1,8.7,2.3,6.0,61.6,40.9
2002,2,10.1,3.9,2.0,42.2,75.0
2002,3,11.3,4.0,3.0,35.0,122.4
2002,4,13.9,5.2,1.0,52.2,184.8
2002,5,15.8,8.6,0.0,3.6,171.3
2002,6,18.3,10.6,0.0,48.6,167.4
2002,7,19.5,11.7,0.0,8.4,147.3
2002,8,20.5,13.2,0.0,6.8,132.4
2002,9,18.5,10.8,0.0,38.0,168.0
2002,10,13.5,6.5,1.0,11.1,92.3
2002,11,11.1,6.1,0.0,8.6,49.7
2002,12,7.5,3.9,3.0,9.6,50.5
2003,1,7.6,2.1,8.0,60.0,73.7
2003,2,7.8,0.8,12.0,41.3,97.6
2003,3,12.6,3.3,2.0,39.0,169.5
2003,4,14.8,5.7,3.0,57.4,192.9
2003,5,16.1,8.4,0.0,90.6,183.4
2003,6,20.5,11.5,0.0,67.8,206.7
2003,7,21.4,13.6,0.0,69.4,157.2
2003,8,22.1,13.6,0.0,11.4,191.0
2003,9,18.9,9.8,0.0,44.6,145.1
2003,10,12.9,5.6,3.0,43.2,127.3
2003,11,11.0,4.9,3.0,61.6,64.4
2003,12,7.6,1.6,10.0,82.4,51.7
2004,1,8.0,2.4,8.0,12.0,34.1
2004,2,8.5,2.5,10.0,48.4,110.0
2004,3,10.3,3.4,3.0,30.2,106.7
2004,4,13.3,6.5,1.0,83.4,108.6
2004,5,16.8,8.0,0.0,46.0,196.3
2004,6,19.1,11.2,0.0,68.0,169.5
2004,7,19.2,11.7,0.0,64.0,150.4
2004,8,21.3,14.0,0.0,85.4,157.8
2004,9,18.3,11.1,0.0,10.2,148.8
2004,10,13.6,7.5,0.0,95.2,84.5
