yyyy,mm,tmax,tmin,af,rain,sun
1996,1,5.0,2.1,9,57.0,5.8
1996,2,5.0,0.0,16,75.1,4.3
1996,3,5.9,1.7,5,52.9,8.6
1996,4,12.8,4.7,4,37.7,4.3
1996,5,13.0,5.3,0,39.1,9.6
1996,6,19.3,9.6,0,29.8,4.5
1996,7,21.5,11.9,0,24.5,4.6
1996,8,21.5,12.3,0,101.1,9.5
1996,9,16.8,9.9,0,27.1,1.4
1996,10,14.4,7.9,0,70.6,9.7
1996,11,8.2,3.2,8,134.3,9.8
1996,12,5.0,0.6,11,98.2,9.1
1997,1,5.2,0.2,15,8.5,1.4
1997,2,9.5,3.9,1,106.5,1.6
1997,3,12.1,5.0,1,22.0,2.1
1997,4,13.2,5.1,0,28.2,7.0
1997,5,16.3,6.7,0,77.5,2.3
1997,6,17.6,10.2,0,130.9,6.5
1997,7,21.7,12.7,0,56.7,4.4
1997,8,23.3,14.1,0,108.6,1.5
1997,9,17.3,10.2,0,17.5,8.4
1997,10,13.0,6.4,3,55.8,7.4
1997,11,10.4,6.1,0,93.1,4.6
1997,12,8.2,3.9,3,79.4,6.2
1998,1,7.1,2.5,5,88.5,6.3
1998,2,11.2,5.1,4,9.3,2.2
1998,3,11.2,4.8,2,93.5,1.9
1998,4,10.9,4.4,2,117.9,5.7
1998,5,17.0,8.5,0,26.6,9.3
1998,6,17.5,10.5,0,152.4,1.7
1998,7,19.2,12.1,0,36.5,2.0
1998,8,20.1,11.9,0,46.2,0.6
1998,9,17.7,11.1,0,49.2,6.6
1998,10,13.0,7.2,1,197.9,9.1
1998,11,8.4,3.6,2,49.5,8.9
1998,12,8.3,2.4,6,57.9,2.4
1999,1,8.1,2.7,5,90.8,6.9
1999,2,8.0,2.4,7,44.7,2.0
1999,3,10.7,4.2,1,82.8,0.8
1999,4,13.4,5.8,3,91.6,2.9
1999,5,17.5,9.0,0,51.0,1.9
1999,6,18.3,10.2,0,61.0,8.5
1999,7,22.5,13.4,0,30.1,7.9
1999,8,19.9,12.1,0,75.4,9.7
1999,9,20.2,11.5,0,113.7,0.7
1999,10,13.8,7.8,0,55.3,3.1
1999,11,10.1,5.2,1,48.2,0.7
1999,12,7.1,1.9,8,135.6,0.6
2000,1,7.8,2.7,2,49.8,5.9
2000,2,8.9,3.3,4,72.0,3.5
2000,3,10.9,4.2,3,43.3,3.0
