yyyy,mm,tmax,tmin,af,rain,sun
1996,1,7.7,4.4,3,64.7,0.0
1996,2,6.9,0.5,16,84.9,0.0
1996,3,9.0,2.6,5,38.1,0.0
1996,4,13.7,5.5,2,37.3,0.0
1996,5,14.7,6.4,0,44.0,0.0
1996,6,20.6,10.8,0,21.0,0.0
1996,7,22.3,13.0,0,43.8,0.0
1996,8,22.2,13.4,0,72.6,0.0
1996,9,19.0,10.6,0,36.7,0.0
1996,10,16.2,9.7,0,55.5,0.0
1996,11,10.9,3.3,6,140.7,0.0
1996,12,6.7,1.8,10,23.5,0.0
1997,1,5.5,0.3,16,16.4,0.0
1997,2,10.0,4.1,3,112.2,0.0
1997,3,12.8,5.1,0,23.4,0.0
1997,4,15.6,5.3,1,12.5,0.0
1997,5,17.6,8.4,0,40.7,0.0
1997,6,19.3,12.2,0,105.2,0.0
1997,7,22.7,13.4,0,10.6,0.0
1997,8,23.8,16.2,0,72.1,0.0
1997,9,20.7,11.3,0,7.5,0.0
1997,10,16.9,8.1,3,64.5,0.0
1997,11,13.0,6.2,3,151.4,0.0
1997,12,9.9,4.2,6,100.5,0.0
1998,1,9.3,3.9,4,118.5,0.0
1998,2,10.9,3.5,5,9.5,0.0
1998,3,12.2,6.0,0,78.5,0.0
1998,4,12.3,5.4,2,89.3,0.0
1998,5,20.8,10.5,0,18.9,0.0
1998,6,18.7,12.0,0,109.0,0.0
1998,7,20.3,13.1,0,37.4,0.0
1998,8,22.9,12.4,0,18.3,0.0
1998,9,19.9,12.7,0,99.6,0.0
1998,10,15.5,8.9,0,135.1,0.0
1998,11,11.0,4.6,1,59.0,0.0
1998,12,10.0,4.0,5,87.3,0.0
1999,1,9.9,4.1,5,129.4,0.0
1999,2,9.5,3.3,4,28.8,0.0
1999,3,12.0,4.2,1,32.2,0.0
1999,4,14.4,6.7,0,57.2,0.0
1999,5,18.6,10.4,0,17.2,0.0
1999,6,19.4,10.9,0,75.3,0.0
1999,7,24.2,14.0,0,11.8,0.0
1999,8,21.8,14.1,0,119.5,0.0
1999,9,21.2,13.3,0,111.9,0.0
1999,10,16.1,8.1,0,66.8,0.0
1999,11,11.8,6.0,0,49.6,0.0
1999,12,9.3,3.0,5,138.8,0.0
2000,1,9.1,2.1,10,26.3,0.0
2000,2,10.9,4.3,4,88.5,0.0
2000,3,12.5,4.7,1,14.7,0.0
