yyyy,mm,tmax,tmin,af,rain,sun
1996,1,7.6,4.0,8,45.9,43.8
1996,2,7.1,1.0,15,69.5,105.9
1996,3,8.6,2.6,4,51.1,99.1
1996,4,11.3,5.4,1,53.5,123.2
1996,5,12.6,5.9,0,49.6,263.9
1996,6,16.7,9.7,0,29.9,254.3
1996,7,18.3,11.9,0,35.7,203.3
1996,8,19.1,12.7,0,73.8,195.1
1996,9,18.3,10.4,0,27.6,196.7
1996,10,15.0,10.3,0,94.6,98.3
1996,11,10.2,5.2,0,122.9,67.7
1996,12,7.2,1.7,9,29.4,78.6
1997,1,6.8,0.9,15,7.1,89.2
1997,2,9.3,4.6,1,73.8,78.9
1997,3,11.2,5.4,0,18.4,121.4
1997,4,13.4,5.9,1,32.5,139.6
1997,5,16.3,7.7,0,64.2,252.6
1997,6,16.7,10.6,0,101.5,174.0
1997,7,18.8,12.6,0,71.5,214.6
1997,8,20.6,14.3,0,54.6,216.1
1997,9,17.1,11.7,0,36.4,149.3
1997,10,14.4,8.3,1,40.7,126.5
1997,11,11.8,7.5,0,109.7,48.4
1997,12,9.7,5.1,4,102.2,48.5
1998,1,8.6,4.3,4,95.0,68.5
1998,2,9.9,6.2,1,29.6,63.3
1998,3,10.6,6.6,0,96.1,76.3
1998,4,10.9,5.3,2,89.8,192.1
1998,5,15.8,8.9,0,16.0,226.5
1998,6,15.9,10.9,0,135.3,171.5
1998,7,17.3,12.5,0,39.1,154.2
1998,8,18.4,12.8,0,50.8,204.4
1998,9,17.6,11.9,0,44.5,153.5
1998,10,13.7,8.8,0,120.8,112.1
1998,11,10.4,6.0,1,128.3,69.5
1998,12,9.7,5.5,2,90.2,25.0
1999,1,8.9,4.5,3,139.2,54.2
1999,2,8.3,4.5,1,47.3,72.6
1999,3,9.6,5.2,2,49.8,124.2
1999,4,12.4,6.6,0,70.0,188.8
1999,5,15.5,9.7,0,43.4,187.6
1999,6,16.3,10.3,0,81.0,220.1
1999,7,20.0,13.3,0,16.8,242.9
1999,8,19.0,12.7,0,86.1,159.6
1999,9,18.0,12.4,0,148.2,144.5
1999,10,14.5,8.9,0,59.0,128.9
1999,11,11.5,6.7,1,67.2,65.8
1999,12,8.8,4.9,3,97.6,39.1
2000,1,8.6,4.2,2,84.2,61.5
2000,2,9.0,5.1,1,98.2,97.3
2000,3,10.2,5.2,1,35.0,134.2
2000,4,11.1,4.9,1,67.6,179.7
2000,5,15.7,8.9,0,46.0,285.9
