yyyy,mm,tmax,tmin,af,rain,sun
1996,1,4.9,1.5,9,34.5,19.6
1996,2,5.1,-0.5,18,44.1,83.7
1996,3,6.1,1.2,9,15.6,59.6
1996,4,12.7,3.8,7,23.6,149.0
1996,5,13.3,5.2,0,32.0,174.6
1996,6,19.5,9.5,0,20.0,237.8
1996,7,22.1,11.4,0,15.5,252.5
1996,8,21.5,12.2,0,45.9,191.3
1996,9,17.4,9.8,0,9.5,130.3
1996,10,15.1,7.6,0,46.0,134.3
1996,11,8.5,2.5,12,87.6,90.8
1996,12,4.9,0.3,14,73.6,49.5
1997,1,4.7,-0.8,18,12.3,39.7
1997,2,9.7,3.4,1,26.7,83.2
1997,3,12.1,4.4,1,13.9,138.7
1997,4,13.0,4.7,1,23.6,140.9
1997,5,16.2,6.6,1,49.3,262.0
1997,6,17.6,10.2,0,136.3,150.8
1997,7,21.2,12.1,0,62.4,214.7
1997,8,24.0,14.4,0,95.8,207.6
1997,9,17.7,10.1,0,25.6,151.3
1997,10,13.5,6.3,3,47.3,118.7
1997,11,10.6,5.5,0,59.6,39.2
1997,12,7.8,3.1,3,51.9,45.2
1998,1,7.5,1.9,7,74.2,57.5
1998,2,10.8,4.0,4,9.3,112.7
1998,3,11.1,4.4,1,56.8,77.4
1998,4,11.2,4.8,2,81.3,123.2
1998,5,16.9,8.1,0,17.2,203.3
1998,6,18.1,10.6,0,96.2,146.4
1998,7,19.6,11.6,0,15.1,154.8
1998,8,20.7,11.4,0,42.2,205.6
1998,9,18.0,10.8,0,58.4,97.2
1998,10,13.4,7.3,0,81.6,102.0
1998,11,8.2,2.2,6,42.4,71.2
1998,12,7.9,1.9,11,55.4,45.2
1999,1,8.1,2.2,6,78.7,76.9
1999,2,8.0,2.0,7,17.0,100.5
1999,3,10.8,4.0,2,80.6,118.5
1999,4,13.5,5.6,2,74.4,182.0
1999,5,17.3,8.6,0,24.8,192.3
1999,6,18.0,9.6,0,58.1,190.4
1999,7,22.3,12.9,0,37.7,248.5
1999,8,20.3,12.3,0,75.0,148.6
1999,9,20.4,11.7,0,52.3,167.0
1999,10,14.0,7.5,0,94.1,125.2
1999,11,10.1,4.7,0,38.5,75.2
1999,12,6.9,1.4,10,44.3,71.1
2000,1,7.8,1.7,7,13.0,88.7
2000,2,9.0,2.5,4,43.6,102.3
2000,3,10.9,3.6,4,14.3,131.8
2000,4,11.7,4.2,0,124.2,147.3
