yyyy,mm,tmax,tmin,af,rain,sun
1996,1,5.1,2.1,8,42.4,10.3
1996,2,4.8,-0.3,17,67.3,75.7
1996,3,5.4,1.4,7,39.4,28.2
1996,4,12.1,4.6,5,55.2,83.8
1996,5,12.4,4.9,2,49.5,145.8
1996,6,17.9,9.2,0,64.9,217.8
1996,7,20.1,11.2,0,39.9,217.8
1996,8,20.2,12.1,0,102.4,165.6
1996,9,16.1,9.7,0,33.4,94.5
1996,10,14.4,7.7,0,67.4,96.7
1996,11,7.9,2.4,13,136.3,78.2
1996,12,4.7,0.8,9,97.1,35.1
1997,1,5.2,0.1,16,6.3,38.1
1997,2,9.0,3.4,1,119.9,71.0
1997,3,11.2,4.7,2,35.9,108.8
1997,4,12.0,4.7,3,25.6,126.7
1997,5,15.4,6.3,0,61.6,205.1
1997,6,16.6,9.8,0,143.0,120.9
1997,7,20.7,12.1,0,60.3,192.1
1997,8,22.1,13.4,0,63.3,169.1
1997,9,16.4,10.1,0,21.6,121.6
1997,10,12.6,5.9,4,44.5,101.6
1997,11,10.1,5.7,0,92.2,25.0
1997,12,8.0,3.3,6,105.1,25.5
1998,1,7.1,2.2,5,142.6,41.8
1998,2,10.3,5.2,4,25.9,67.7
1998,3,10.6,4.1,2,111.7,75.6
1998,4,10.4,3.9,4,124.2,100.9
1998,5,16.7,7.9,0,46.0,164.2
1998,6,16.9,10.2,0,133.9,105.7
1998,7,18.0,11.5,0,53.5,137.1
1998,8,19.1,11.3,0,44.5,157.2
1998,9,17.2,10.8,0,75.7,88.8
1998,10,12.8,6.7,1,148.7,104.1
1998,11,8.8,2.7,5,74.3,62.5
1998,12,8.3,2.1,7,61.9,38.2
1999,1,8.0,2.6,4,109.1,49.6
1999,2,7.7,2.4,7,49.8,78.4
1999,3,10.0,3.8,2,76.4,101.8
1999,4,12.9,5.3,3,77.9,129.0
1999,5,16.5,8.5,0,79.9,142.1
1999,6,17.2,9.0,0,75.8,161.9
1999,7,21.5,12.9,0,23.3,207.9
1999,8,19.5,11.8,0,58.7,115.4
1999,9,19.7,11.0,0,113.1,162.8
1999,10,13.6,7.1,0,93.3,87.7
1999,11,10.2,5.0,3,33.5,64.0
1999,12,7.1,1.5,9,180.4,44.0
2000,1,7.6,2.3,4,71.6,63.9
2000,2,8.9,3.0,4,72.0,81.9
2000,3,10.5,3.7,5,53.2,115.1
2000,4,11.3,3.8,4,120.7,116.0
2000,5,16.0,7.0,0,50.3,164.6
2000,6,18.0,10.5,0,76.0,154.7
2000,7,18.1,10.7,0,44.9,112.8
2000,8,20.1,11.9,0,63.9,160.0
2000,9,17.4,10.2,0,139.9,96.9
2000,10,13.0,6.7,0,158.5,92.6
2000,11,8.8,3.8,0,168.2,45.9
2000,12,7.1,2.8,7,123.3,38.4
2001,1,5.3,0.3,15,53.3,71.7
2001,2,7.1,0.1,15,93.4,84.8
2001,3,7.6,0.7,9,47.9,101.1
2001,4,10.6,3.5,1,88.8,109.9
2001,5,16.8,7.2,0,50.5,204.4
2001,6,17.2,9.4,0,40.3,148.2
2001,7,20.6,12.4,0,32.0,164.6
2001,8,20.1,12.1,0,78.5,153.1
2001,9,15.8,9.8,0,80.3,79.5
2001,10,15.8,10.0,0,127.4,99.5
2001,11,10.5,4.2,2,36.1,53.4
2001,12,6.5,0.4,15,54.8,46.8
2002,1,8.2,2.3,7,70.9,31.0
2002,2,9.3,3.4,1,191.8,63.0
2002,3,10.7,3.6,2,46.0,113.9
2002,4,13.2,4.7,3,45.4,187.7
2002,5,15.4,8.2,0,68.6,148.5
2002,6,17.8,10.8,0,49.2,147.8
2002,7,19.1,11.5,0,114.6,135.0
2002,8,20.2,13.0,0,120.4,135.7
2002,9,17.5,10.3,0,20.2,130.6
2002,10,12.4,5.9,2,112.8,79.2
2002,11,10.0,5.2,0,108.1,36.0
2002,12,6.5,3.1,3,136.2,32.5
2003,1,6.8,1.9,9,49.1,71.1
2003,2,6.5,0.0,16,38.7,89.8
2003,3,11.5,2.6,4,44.5,162.6
2003,4,14.1,5.0,3,53.3,190.1
2003,5,15.9,8.1,0,80.7,167.3
2003,6,19.9,11.3,0,81.8,188.9
2003,7,21.2,13.5,0,60.2,101.8
2003,8,21.6,12.8,0,9.6,179.9
2003,9,18.6,8.9,0,34.6,142.0
2003,10,12.1,5.6,1,35.2,120.8
2003,11,10.5,4.8,3,71.2,50.6
2003,12,7.3,1.2,16,76.2,48.2
2004,1,7.4,2.6,7,116.7,52.2
2004,2,7.9,2.8,8,53.3,87.4
2004,3,9.5,3.0,4,44.3,93.3
2004,4,12.8,6.0,1,84.0,98.9
2004,5,16.0,7.3,0,38.7,184.4
2004,6,18.7,10.8,0,56.5,174.6
2004,7,18.9,11.6,0,40.8,140.5
2004,8,20.5,13.3,0,189.9,148.9
2004,9,17.6,10.6,0,35.4,162.8
2004,10,12.9,7.1,0,122.2,93.5
2004,11,10.0,4.9,4,35.3,44.8
2004,12,8.2,2.6,5,49.9,51.3
2005,1,8.8,3.0,5,84.8,34.8
2005,2,6.7,1.9,9,51.6,69.0
2005,3,9.7,4.1,3,22.9,65.1
2005,4,12.4,4.4,2,96.7,130.2
2005,5,15.2,6.6,0,37.8,208.7
2005,6,19.3,10.7,0,35.8,172.7
2005,7,20.3,12.5,0,65.2,154.9
2005,8,20.1,11.6,0,47.5,168.6
2005,9,18.3,10.6,0,66.4,134.4
2005,10,15.1,9.9,0,103.8,52.7
2005,11,9.4,2.9,11,59.8,94.4
2005,12,7.2,1.3,12,53.8,41.4
2006,1,6.3,1.9,7,16.3,29.0
2006,2,6.5,1.5,9,40.4,71.3
2006,3,7.4,1.1,12,113.2,87.2
2006,4,11.5,4.6,2,52.5,160.9
2006,5,17.4,8.7,0,62.8,163.0
2006,6,20.4,11.0,0,11.6,164.4
2006,7,24.8,13.6,0,29.5,265.4
2006,8,19.1,12.3,0,92.7,121.4
2006,9,19.6,12.3,0,82.7,131.6
2006,10,15.4,9.3,0,89.6,89.8
2006,11,11.0,4.8,2,78.6,85.7
2006,12,8.5,4.1,0,133.5,42.9
2007,1,9.3,3.8,5,142.4,58.5
