yyyy,mm,tmax,tmin,af,rain,sun
1996,1,4.3,0.9,12,96.3,11.5
1996,2,3.2,-3.2,22,97.1,76.3
1996,3,4.3,-0.7,23,41.0,72.5
1996,4,9.1,2.5,6,62.4,117.3
1996,5,10.2,1.9,10,43.4,148.4
1996,6,16.7,6.9,0,15.9,239.0
1996,7,18.0,8.3,0,47.5,169.6
1996,8,17.9,9.5,0,51.4,139.4
1996,9,15.6,6.0,0,32.5,150.2
1996,10,12.0,5.3,0,112.8,60.9
1996,11,5.4,-1.4,18,121.4,55.9
1996,12,3.4,-2.4,23,52.7,27.0*
1997,1,3.9,-2.6,22,22.3,33.3
1997,2,6.0,-0.3,16,124.4,51.8
1997,3,9.3,2.2,6,70.9,128.9
1997,4,10.8,2.0,7,14.4,100.6
1997,5,13.0,3.8,4,94.6,166.9
1997,6,15.0,6.1,0,90.0,144.0
1997,7,18.9,8.4,0,49.7,201.8
1997,8,20.3,9.3,0,45.1,193.7
1997,9,15.2,5.4,4,42.2,168.5
1997,10,11.5,3.4,7,35.1,104.5
1997,11,8.4,3.4,3,121.8,25.9
1997,12,6.0,0.9,14,102.0,13.5
1998,1,5.1,-0.5,13,81.6,21.7*
1998,2,8.9,4.0,3,40.6,60.2*
1998,3,7.9,0.5,12,53.5,83.1*
1998,4,7.1,0.5,12,184.1,132.3*
1998,5,14.6,4.6,4,39.0,184.3
1998,6,14.1,6.3,0,87.7,119.3
1998,7,16.0,8.4,0,95.0,139.9
1998,8,16.4,8.6,0,34.6,146.7
1998,9,15.4,7.5,0,73.8,111.9
1998,10,9.2,2.8,6,129.9,75.3*
1998,11,6.3,-0.7,12,98.2,54.8
1998,12,6.1,-0.1,14,96.5,16.8
1999,1,4.4,-0.4,14,105.9,34.2
1999,2,4.7,-1.2,17,54.5,57.3
1999,3,7.3,0.4,12,46.5,105.5
1999,4,11.2,2.1,9,63.1,134.4
1999,5,14.0,5.1,1,63.8,178.2
1999,6,15.2,6.6,1,54.5,154.0
1999,7,19.3*,9.2*,0*,51.2,167.7*
1999,8,16.9,6.6,3,32.5,142.0*
1999,9,16.2,7.7,0,164.5,115.5*
1999,10,11.0,5.0,2,73.3,43.0
1999,11,8.5,2.2,8,61.8,26.8
1999,12,3.4,-2.2,20,197.2,25.1
2000,1,6.5,0.4,13,99.6,37.7
2000,2,5.8,-0.4,16,88.2,57.9
2000,3,8.9,1.1,13,53.7,100.7
2000,4,8.7,0.9,11,122.2,129.3
2000,5,14.8,3.4,3,31.8,239.3
2000,6,15.2,6.1,1,42.3,157.5
2000,7,17.6,7.6,1,91.5,164.9
2000,8,17.8,8.0,0,73.8,140.8
2000,9,14.8,7.0,0,115.2,111.6
2000,10,10.6,4.3,4,160.2,64.3
2000,11,6.2,1.1,7,163.5,32.4
2000,12,5.0,0.7,12,123.0,13.9
2001,1,3.1,-2.8,22,67.1,32.7
2001,2,3.8,-2.3,19,82.3,69.7
2001,3,4.6,-2.4,19,62.9,89.9
2001,4,8.4,0.9,12,33.2,147.3
2001,5,16.2,4.0,6,16.9,227.2
2001,6,14.6,6.3,2,43.4,142.6
2001,7,17.4,9.2,0,77.6,105.3
2001,8,16.8,8.3,0,92.0,122.6
2001,9,13.4,7.0,0,49.4,78.7
2001,10,12.8,7.9,0,170.2,59.9
2001,11,8.5,1.4,13,67.2,41.8
2001,12,4.3,-2.1,23,69.6,19.9
2002,1,6.2,-0.2,11,115.0,33.6
2002,2,5.0,-0.2,12,133.1,51.1
2002,3,7.8,0.5,14,57.4,95.5
2002,4,11.0,1.9,7,41.1,141.6
2002,5,13.6,4.5,3,87.4,168.7
2002,6,15.3,7.9,0,60.8,127.1
2002,7,16.7,8.9,0,121.1,100.7
2002,8,18.5,10.2,0,85.8,136.3
2002,9,16.0,6.0,2,33.1,121.0
2002,10,8.7,2.6,6,155.4,58.7
2002,11,7.7,2.5,6,162.7,34.8
2002,12,4.3,1.3,7,63.5,5.6
2003,1,4.9,-1.5,17,83.3,20.4
2003,2,5.4,-2.8,23,39.1,85.9
2003,3,10.9,-0.1,14,50.7,147.8
2003,4,12.8,1.7,11,43.6,162.9
2003,5,12.6,5.0,1,72.4,132.0
2003,6,17.5,8.6,0,21.1,157.9
2003,7,19.4,10.4,0,43.2,169.6
2003,8,19.8,9.0,0,9.3,181.5
2003,9,15.7,5.1,2,24.8,116.3
2003,10,10.3,1.8,10,33.5,108.0
2003,11,8.9,2.2,7,85.2,43.5
2003,12,6.1,-1.6,19,107.4,22.8
2004,1,5.0,-0.5,18,91.6,21.8
2004,2,5.6,-1.9,21,49.3,74.6
2004,3,7.7,-0.1,10,56.3,107.8
2004,4,10.6,2.9,4,91.5,90.6
2004,5,14.9,4.4,4,69.8,193.6
2004,6,15.9,8.1,0,54.4,120.1
2004,7,16.4,8.0,0,44.6,111.6
2004,8,18.4,10.1,1,177.2,147.6
2004,9,15.2,7.1,3,46.8,117.6
2004,10,9.7,4.1,4,158.5,36.9
2004,11,8.5,2.0,6,35.4,45.3
2004,12,7.3,-0.2,15,62.4,28.2
2005,1,6.8,0.2,12,127.4,21.1
2005,2,4.5,-0.1,15,67.1,46.5
2005,3,7.8,1.1,14,69.6,75.6
2005,4,10.1,1.5,11,72.5,147.6
2005,5,0,0,0,0.0,0
2005,6,0,0,0,0.0,0
2005,7,0,0,0,0.0,0
2005,8,17.6,8.4,0,58.0,0
2005,9,15.9,7.6,1,37.6,0
2005,10,12.1,5.8,2,135.0,0
2005,11,7.1,-0.6,15,153.6,0
2005,12,5.7,-0.3,14,42.8,0
2006,1,4.5*,-1.4*,17*,84.0,0
2006,2,5.0,-1.6,14,62.5,0
2006,3,4.1,-1.8,20,94.2,0
2006,4,9.3,0.1,16,17.0,0
2006,5,13.0,3.1,5,65.4,0
2006,6,17.8,8.0,0,39.0,0
2006,7,22.0,9.4,0,16.0,0
2006,8,17.7,8.0,0,65.8,0
2006,9,17.3,7.7,1,95.0,0
2006,10,12.7,5.2,1,124.4,0
2006,11,8.2,2.6,5,111.2,0
2006,12,6.1,-0.3,12,128.8,0
2007,1,6.7,1.2,11,100.4,0
2007,2,6.1,0.1,14,81.8,0
2007,3,8.4,0.1,17,70.8,0
2007,4,14.3,3.3,5,19.4,0
2007,5,12.8,3.7,6,80.4,0
2007,6,15.8,7.2,1,102.8,0
2007,7,16.4,8.7,0,129.4,0
2007,8,16.5,7.9,0,80.8,0
2007,9,14.1,5.9,2,44.6,0
2007,10,12.9,4.1,8,31.6,0
2007,11,8.0,1.9,12,118.0,0
2007,12,5.2,-2.4,19,67.6,0
2008,1,5.2,-1.1,17,183.6,0
2008,2,7.9,-1.3,15,82.4,0
2008,3,5.7,-1.0,16,94.6,0
2008,4,8.2*,0.1*,15*,64.4,0
2008,5,15.0,4.0,5,21.8,0
2008,6,15.4,6.0,2,52.6,0
2008,7,18.4,9.8,0,71.8,0
2008,8,16.5,9.5,0,73.0,0
2008,9,14.4,6.8,2,59.0,0
