yyyy,mm,tmax,tmin,af,rain,sun
1996,1,5.8,1.7,8,33.2,21.9
1996,2,5.4,-1.0,18,45.8,82.6
1996,3,7.2,1.0,9,19.5,59.7
1996,4,13.7,3.8,6,4.5,148.9
1996,5,13.9,4.3,6,19.8,155.8
1996,6,21.5,9.4,0,12.4,225.6
1996,7,23.2,11.7,0,40.5,207.4
1996,8,22.6,12.6,0,63.9,176.3
1996,9,18.4,10.1,0,5.6,130.8
1996,10,15.9,8.2,0,31.2,143.0
1996,11,9.3,2.7,12,70.9,92.1
1996,12,5.1,0.3,15,30.2,52.5
1997,1,4.7,-1.2,22,11.6,51.8
1997,2,10.5,3.5,3,38.7,60.0
1997,3,13.0,4.9,0,7.0,144.8
1997,4,13.9,3.9,4,12.5,159.3
1997,5,17.6,6.5,1,36.8,222.4
1997,6,18.9,11.0,0,151.0,135.7
1997,7,22.3,11.6,0,25.9,199.3
1997,8,26.3,14.1,0,60.5,188.2
1997,9,19.9,10.3,0,15.0,162.4
1997,10,14.7,5.8,7,45.1,146.7
1997,11,11.7,5.1,4,40.4,48.3
1997,12,8.5,3.0,7,62.4,39.7
1998,1,8.1,2.5,6,48.1,46.8
1998,2,11.2,3.2,4,4.8,119.9
1998,3,11.5,4.6,3,45.2,73.8
1998,4,11.9,5.5,1,120.4,111.2
1998,5,18.2,7.1,0,6.4,183.6
1998,6,18.9,10.8,0,101.9,132.5
1998,7,20.8,11.7,0,25.7,144.0
1998,8,22.6,11.1,0,16.0,201.5
1998,9,19.4,11.9,0,104.0,121.5
1998,10,14.0,8.1,1,77.3,102.2
1998,11,8.4,2.4,6,55.1,66.4
1998,12,8.7,2.4,10,59.8,37.5
1999,1,9.1,2.4,6,50.2,68.6
1999,2,8.2,1.8,9,36.1,96.6
1999,3,11.7,4.0,2,40.9,103.4
1999,4,14.3,5.2,3,33.0,153.8
1999,5,18.3,8.3,0,49.8,161.4
1999,6,19.2,9.7,0,89.0,197.9
1999,7,24.5,12.5,0,24.5,233.2
1999,8,21.6,12.4,0,92.5,138.7
1999,9,21.3,11.9,0,76.4,148.5
1999,10,14.9,7.3,0,43.7,137.0
1999,11,10.6,5.1,0,25.3,63.3
1999,12,7.8,1.8,8,63.1,76.1
2000,1,8.1,1.8,11,20.5,78.6
2000,2,9.8,2.8,5,50.7,106.4
2000,3,11.2,4.0,2,14.6,109.2
2000,4,12.4,4.5,4,85.9,138.0
2000,5,16.8,8.5,0,83.8,161.2
2000,6,20.5,11.3,0,17.5,162.0
2000,7,20.1,11.8,0,60.7,126.9
2000,8,23.1,12.6,0,21.1,207.7
2000,9,20.0,12.6,0,68.1,126.5
2000,10,14.0,8.0,0,108.0,98.7
2000,11,10.4,3.8,2,108.8,69.6
2000,12,8.1,3.5,9,59.6,50.0
2001,1,6.1,0.4,14,47.2,83.8
2001,2,8.2,0.9,14,72.4,77.2
2001,3,9.0,2.0,8,77.4,87.7
2001,4,12.1,3.9,1,62.6,132.0
2001,5,18.5,7.2,0,17.5,220.7
2001,6,19.9,9.6,0,22.8,194.0
2001,7,23.1,13.2,0,55.1,178.7
2001,8,22.9,13.3,0,65.8,180.5
2001,9,17.3,10.1,0,68.9,114.9
2001,10,17.3,10.9,0,128.9,107.7
2001,11,10.6,4.0,4,36.4,73.7
2001,12,6.2,0.4,18,19.3,72.0
2002,1,8.9,2.6,8,33.0,48.8
2002,2,10.7,3.7,4,50.4,82.5
2002,3,12.0,3.0,7,30.6,122.9
2002,4,14.7,4.2,2,33.4,196.2
2002,5,16.6,7.9,0,53.5,180.2
2002,6,20.1,10.3,0,28.5,182.1
2002,7,22.0,12.3,0,94.6,172.2
2002,8,22.9,13.2,0,42.0,143.8
2002,9,19.6,10.0,0,23.5,147.6
2002,10,14.3,6.7,0,67.7,94.4
2002,11,11.4,5.7,2,85.9,47.3
2002,12,8.2,3.9,4,85.1,20.4
2003,1,7.0,1.6,12,78.6,53.0
2003,2,7.8,0.8,12,12.9,101.5
2003,3,12.9,2.4,8,13.7,164.0
2003,4,15.1,4.5,4,24.2,178.3
2003,5,17.5,7.5,0,39.9,190.0
2003,6,22.1,11.5,0,60.7,210.0
2003,7,23.7,13.3,0,66.8,184.6
2003,8,25.3,13.3,0,2.0,214.1
2003,9,21.3,8.9,0,15.7,196.3
2003,10,14.0,4.8,1,30.0,141.8
2003,11,11.7,5.9,1,80.8,72.9
2003,12,8.1,2.3,7,46.0,57.8
2004,1,8.1,2.7,7,69.6,49.2
2004,2,8.1,3.3,11,34.3,72.6
2004,3,10.5,3.2,3,24.7,96.2
2004,4,14.2,5.5,0,41.4,138.9
2004,5,16.9,7.9,0,44.5,162.7
2004,6,21.2,11.2,0,34.0,190.9
2004,7,22.0,11.6,0,59.3,173.8
2004,8,24.0,14.1,0,70.7,184.8
2004,9,20.6,11.1,0,18.7,169.8
2004,10,15.0,7.8,0,67.2,99.0
2004,11,10.5,5.5,3,45.4,56.6
2004,12,8.4,2.5,9,32.2,51.4
2005,1,9.2,3.1,5,28.3,66.3
2005,2,7.1,1.9,9,22.3,67.0
2005,3,10.7,3.8,7,19.8,66.0
2005,4,14.2,4.3,4,27.7,130.6
2005,5,16.6,7.0,0,47.4,197.6
2005,6,21.8,10.9,0,47.1,175.8
2005,7,22.0,12.8,0,43.7,157.5
2005,8,22.6,11.5,0,53.3,182.5
2005,9,21.1,11.3,0,166.2,148.1
2005,10,17.4,10.5,0,61.2,107.1
2005,11,10.1,3.0,9,47.2,101.0
2005,12,7.8,1.8,10,18.0,75.1
2006,1,7.0,1.5,12,19.8,48.8
2006,2,7.0,1.5,5,25.2,71.1
2006,3,9.0,1.7,12,35.9,105.2
2006,4,13.5,5.1,3,30.1,144.5
2006,5,17.4,8.7,0,62.8,155.7
2006,6,22.5,11.2,0,18.9,220.2
2006,7,28.3,14.1,0,45.1,253.5
2006,8,21.5,12.2,0,74.9,152.5
2006,9,22.7,13.4,0,50.0,164.7
2006,10,17.5,10.5,0,43.2,111.4
2006,11,12.5,5.1,2,64.8,109.0
2006,12,9.7,3.3,6,50.5,41.0
2007,1,10.4,3.8,5,68.5,66.2
2007,2,9.7,2.3,8,50.9,70.4
2007,3,12.1,3.2,1,25.7,161.1
2007,4,17.1,6.0,1,1.0,183.1
2007,5,16.9,8.3,0,124.3,121.7
2007,6,20.4,11.1,0,59.0,148.9
2007,7,21.6,11.0,0,62.1,189.7
2007,8,21.6,10.8,0,51.1,180.4
2007,9,19.5,10.0,0,25.2,158.1
2007,10,15.2,7.2,0,56.4,97.3
2007,11,11.1,3.7,5,36.3,77.2
2007,12,8.5,1.9,12,38.2,51.9
2008,1,10.3,3.8,0,58.0,63.2
2008,2,9.9,0.6,11,12.8,105.2
2008,3,10.1,3.0,5,68.9,117.0
2008,4,13.1,3.8,3,50.8,158.2
2008,5,19.0,7.9,0,62.9,173.9
2008,6,19.7,10.4,0,34.6,181.8
2008,7,22.8,12.4,0,52.1,188.1
2008,8,22.3,13.3,0,64.7,122.7
2008,9,18.6,9.6,0,59.5,103.3
2008,10,14.4,6.1,1,56.2,130.3
2008,11,10.3,4.7,5,68.8,55.5
2008,12,6.6,1.4,11,21.3,68.0
2009,1,5.8,0.2,13,40.9,46.2
2009,2,7.1,1.8,13,47.9,42.1
2009,3,11.9,2.8,6,32.2,149.7
2009,4,15.6,5.4,0,12.6,166.1
2009,5,18.3,7.7,0,28.4,204.0
2009,6,20.9,10.2,0,40.8,198.8
2009,7,22.5,12.1,0,71.0,196.9
2009,8,23.6,13.1,0,58.6,200.0
2009,9,20.1,10.5,0,10.0,152.5
2009,10,15.7,8.3,0,32.2,87.8
2009,11,12.0,6.5,0,89.8,78.7
2009,12,6.2,0.6,12,63.2,68.5
2010,1,3.9,-0.4,15,46.6,55.2
2010,2,6.1,0.4,12,70.6,54.9
2010,3,10.9,2.8,9,26.2,118.4
2010,4,14.9,3.7,3,12.5,212.1
2010,5,16.5,5.9,2,28.6,209.4
2010,6,21.6,10.0,0,25.4,229.9
2010,7,24.6,13.8,0,10.8,0.0
2010,8,21.0,12.2,0,133.2,0.0
2010,9,19.0,10.5,0,46.4,0.0
2010,10,14.7,7.7,0,39.0,0.0
2010,11,8.4,3.0,9,22.4,0.0
2010,12,2.8,-2.7,23,19.8,0.0
2011,1,6.8,2.2,7,52.4,0.0
2011,2,9.6,4.0,2,28.2,0.0
2011,3,11.6,2.7,5,1.8,0.0
2011,4,18.6,6.5,0,2.0,0.0
2011,5,18.7,7.8,1,12.8,0.0
2011,6,20.3,9.9,0,53.0,0.0
2011,7,21.2,10.9,0,38.4,0.0
2011,8,21.6,11.9,0,40.2,0.0
2011,9,21.2,11.3,0,31.6,0.0
2011,10,17.9,9.3,0,15.8,0.0
2011,11,13.3,6.6,2,28.0,0.0
2011,12,9.1,3.2,3,43.0,0.0
2012,1,9.1,2.8,7,39.0,0.0
2012,2,7.0,0.1,12,17.4,0.0
2012,3,13.3,2.6,5,23.4,0.0
2012,4,12.2,3.9,2,95.6,0.0
2012,5,16.9,7.9,0,42.6,0.0
2012,6,18.5,10.4,0,91.4,0.0
2012,7,21.2,12.0,0,101.4,0.0
2012,8,23.5,12.9,0,39.2,0.0
2012,9,19.3,8.9,0,30.0,0.0
2012,10,13.5,6.9,0,78.6,0.0
2012,11,10.0,4.0,2,71.0,0.0
2012,12,8.1,2.1,10,97.7,0.0
2013,1,5.8,0.5,16,39.8,0.0
2013,2,6.0,0.6,9,19.6,0.0
2013,3,6.2,0.1,16,38.6,0.0
2013,4,13.2,3.4,11,26.4,0.0
2013,5,15.9,6.1,1,52.0,0.0
2013,6,19.2,9.7,0,14.2,0.0
2013,7,25.1,12.8,0,32.8,0.0
2013,8,23.5,13.0,0,48.2,0.0
2013,9,19.0,10.0,0,34.8,0.0
2013,10,16.2,9.8,0,78.2,0.0
2013,11,9.6,3.7,2,40.2,0.0
2013,12,9.7,3.1,1,36.0,0.0
2014,1,9.2,3.1,4,103.6,0.0
2014,2,9.8,3.8,0,61.2,0.0
2014,3,13.4,3.4,4,17.4,0.0
2014,4,15.9,6.3,2,13.8,0.0
2014,5,17.7,8.7,0,84.6,0.0
2014,6,20.8,10.7,0,44.4,0.0
2014,7,24.4,13.5,0,49.2,0.0
2014,8,21.0,11.8,0,126.8,0.0
2014,9,20.5,11.0,0,23.0,0.0
