yyyy,mm,tmax,tmin,af,rain,sun
1996,1,7.4,4.0,7,57.5,45.3
1996,2,6.7,1.5,9,37.9,105.5
1996,3,7.8,2.9,3,43.2,89.3
1996,4,12.0,6.1,1,18.9,199.2
1996,5,13.0,7.0,0,70.3,193.0
1996,6,18.4,11.7,0,22.5,282.5
1996,7,19.8,13.7,0,29.2,279.3
1996,8,20.4,14.2,0,89.9,256.0
1996,9,17.7,11.7,0,32.0,180.9
1996,10,15.5,10.3,0,53.1,138.4
1996,11,10.7,4.6,2,148.8,115.2
1996,12,6.3,2.9,7,38.9,44.8
1997,1,4.7,0.5,14,16.1,57.7
1997,2,9.3,5.1,1,70.3,63.8
1997,3,11.5,6.1,0,16.3,140.7
1997,4,13.0,5.9,0,12.4,239.1
1997,5,15.7,8.8,0,42.8,275.2
1997,6,18.0,12.3,0,150.2,179.0
1997,7,20.3,14.2,0,19.9,286.1
1997,8,22.6,16.8,0,122.4,216.8
1997,9,19.1,12.6,0,2.0,227.4
1997,10,15.4,9.2,0,106.1,171.7
1997,11,12.7,8.2,0,166.6,58.6
1997,12,9.7,5.4,1,95.8,52.8
1998,1,8.9,4.4,4,106.1,82.3
1998,2,9.9,4.3,3,11.4,110.2
1998,3,11.3,6.9,0,59.0,90.3
1998,4,12.0,6.9,0,86.0,160.8
1998,5,17.8,10.9,0,8.9,272.4
1998,6,17.4,12.8,0,88.6,181.1
1998,7,18.9,14.0,0,56.5,215.2
1998,8,21.0,14.0,0,30.0,293.4
1998,9,18.8,13.6,0,102.8,180.1
1998,10,14.8,9.6,0,167.3,89.9
1998,11,10.0,5.1,1,47.6,113.3
1998,12,9.5,4.9,5,95.7,48.3
1999,1,9.5,5.3,2,82.6,83.4
1999,2,8.2,3.6,5,43.8,105.0
1999,3,10.9,5.3,0,39.0,144.5
1999,4,12.9,7.4,0,49.8,185.7
1999,5,16.6,10.9,0,25.2,238.5
1999,6,18.3,12.2,0,66.8,258.6
1999,7,22.1,15.4,0,12.4,297.7
1999,8,20.8,14.7,0,84.2,227.8
1999,9,19.8,14.6,0,134.7,162.9
1999,10,15.3,9.6,0,77.7,152.8
1999,11,11.3,6.9,0,31.0,99.7
1999,12,9.2,4.3,3,172.6,83.2
2000,1,8.3,3.1,7,27.0,94.4
2000,2,9.7,5.0,0,67.1,107.9
2000,3,11.0,4.9,0,24.3,138.3
2000,4,12.0,5.2,0,92.6,173.5
2000,5,16.3,9.6,0,95.2,228.3
2000,6,18.2,12.0,0,13.6,196.6
