yyyy,mm,tmax,tmin,af,rain,sun
1996,1,4.7,2.0,6,118.4,8.6
1996,2,4.0,-2.1,20,200.7,71.1
1996,3,5.1,-0.1,12,45.4,57.2
1996,4,9.1,2.7,8,147.2,59.5
1996,5,10.9,2.5,8,87.6,44.8
1996,6,16.2,6.9,0,85.6,99.5
1996,7,17.9,8.5,0,85.1,73.1
1996,8,18.6,9.8,0,50.1,55.1
1996,9,15.5,7.3,0,78.5,41.9
1996,10,12.3,5.4,2,326.0,69.3
1996,11,5.9,-0.6,18,190.9,70.7
1996,12,3.4,-1.3,19,130.0,37.0
1997,1,3.6,-1.2,25,38.4,23.7
1997,2,6.7,1.1,8,401.6,47.5
1997,3,9.1,2.2,8,138.7,86.8
1997,4,11.1,2.5,7,60.4,92.9
1997,5,13.4,4.0,6,132.3,70.3
1997,6,15.2,7.5,0,139.7,15.6
1997,7,19.3,9.2,0,113.8,78.5
1997,8,20.0,11.3,0,75.9,53.5
1997,9,15.3,6.8,0,142.9,41.6
1997,10,11.5,3.7,8,89.8,3.3
1997,11,9.1,4.0,3,139.8,29.5
1997,12,6.5,1.2,9,229.7,23.3
1998,1,5.6,0.0,15,158.0,34.2
1998,2,8.0,3.6,5,132.9,29.1
1998,3,8.8,1.9,10,153.3,62.1
1998,4,9.0,2.1,8,132.1,16.8
1998,5,15.2,6.0,1,75.2,66.2
1998,6,14.5,7.4,2,185.3,7.4
1998,7,16.1,9.6,0,183.7,0.5
1998,8,16.9,9.2,1,154.6,27.1
1998,9,15.9,8.6,0,120.0,3.2
1998,10,10.8,3.9,6,276.1,96.3
1998,11,7.0,0.9,12,204.5,54.9
1998,12,6.4,0.7,10,184.1,36.3
1999,1,5.5,0.2,11,291.3,33.2
1999,2,5.8,0.8,12,119.5,80.6
1999,3,7.9,1.4,10,133.1,86.9
1999,4,11.1,2.9,6,136.7,25.5
1999,5,14.2,6.4,1,164.3,35.6
1999,6,15.3,7.3,0,113.1,33.7
1999,7,18.9,10.1,0,69.5,59.1
1999,8,17.2,9.2,0,72.7,31.8
1999,9,16.6,8.9,0,138.2,10.1
1999,10,11.6,4.5,3,106.2,68.6
1999,11,8.7,2.5,8,205.6,57.7
1999,12,4.7,-1.2,17,274.2,39.2
2000,1,6.0,-0.4,19,180.1,65.9
2000,2,6.1,0.9,10,244.4,48.6
2000,3,8.8,2.5,8,108.4,80.9
2000,4,9.3,2.0,7,93.1,23.9
2000,5,15.1,4.5,3,72.4,35.9
2000,6,15.1,7.4,0,95.2,6.1
2000,7,17.7,8.7,0,74.8,73.2
2000,8,17.6,9.1,0,155.6,27.1
2000,9,15.3,8.8,0,185.2,79.4
2000,10,11.2,4.1,3,240.2,69.9
2000,11,7.2,1.7,5,211.2,36.8
2000,12,5.6,0.7,12,225.9,43.5
2001,1,4.2,-0.9,14,87.4,50.3
2001,2,5.0,-1.9,19,134.5,72.3
2001,3,5.6,-2.0,17,69.8,7.1
2001,4,9.0,1.6,10,93.3,14.6
2001,5,16.2,4.7,3,35.0,36.8
2001,6,14.5,7.5,0,93.8,4.8
2001,7,17.8,9.9,0,93.8,30.9
2001,8,17.5,8.3,0,131.8,23.7
2001,9,14.3,7.7,0,121.8,89.4
2001,10,13.4,8.7,0,254.4,45.9
2001,11,8.8,2.4,10,137.3,41.2
2001,12,5.4,-1.5,22,86.5,66.6
2002,1,6.6,0.8,9,262.6,28.0
2002,2,6.9,1.1,7,335.5,47.1
2002,3,9.2,1.1,11,137.7,98.1
2002,4,11.5,2.3,11,124.5,31.8
2002,5,13.3,6.0,2,172.0,14.9
2002,6,15.1,8.6,0,189.8,18.5
2002,7,16.5,9.0,0,109.8,99.4
2002,8,18.8,10.7,0,129.5,34.1
2002,9,16.3,7.1,0,60.8,20.9
2002,10,10.6,2.8,7,230.8,84.9
2002,11,8.6,2.8,5,197.2,41.5
2002,12,5.2,1.6,5,129.2,31.7
2003,1,5.0,-0.1,14,164.0,61.7
2003,2,6.1,-2.0,18,68.9,5.1
2003,3,10.4,0.4,14,109.6,64.1
2003,4,13.2,3.3,6,65.8,89.1
2003,5,13.3,5.6,2,127.6,39.1
2003,6,17.6,8.8,0,57.0,81.3
2003,7,18.7,11.1,0,167.4,20.6
2003,8,19.8,10.2,0,33.6,5.6
2003,9,15.6,7.3,1,83.6,14.1
2003,10,10.8,2.8,8,62.6,24.5
2003,11,9.2,3.3,4,207.2,41.4
2003,12,5.9,-0.5,15,163.4,48.5
2004,1,5.4,0.4,12,226.4,29.3
2004,2,6.3,-0.2,15,118.8,95.0
2004,3,8.0,0.6,12,148.0,80.2
2004,4,10.8,3.8,3,155.6,97.0
2004,5,15.6,5.1,3,63.2,2.4
2004,6,16.7,8.8,0,130.4,9.2
2004,7,17.3,9.1,0,68.2,29.5
2004,8,18.8,11.4,0,309.0,47.7
2004,9,15.3,8.5,0,222.6,99.4
2004,10,10.9,5.1,0,227.0,65.8
2004,11,8.6,2.7,9,88.5,46.3
2004,12,6.6,1.0,11,177.0,43.3
2005,1,7.1,1.4,10,312.0,41.2
2005,2,5.4,0.5,15,126.8,83.5
2005,3,8.6,2.3,10,96.8,77.2
2005,4,10.8,2.8,5,123.0,50.7
2005,5,12.7,4.4,6,169.6,85.1
2005,6,16.6,8.7,0,91.6,33.1
2005,7,18.5,9.6,0,56.4,46.2
2005,8,17.8,8.7,0,125.0,70.0
2005,9,15.8,8.2,2,135.2,14.4
2005,10,12.6,7.1,1,291.8,36.5
2005,11,7.2,0.4,15,140.7,67.5
2005,12,5.9,-0.7,17,76.9,42.4
2006,1,5.2,0.2,11,128.6,29.8
2006,2,5.6,-0.1,12,100.2,66.7
2006,3,5.3,-1.0,18,184.0,74.9
2006,4,10.4,1.7,9,117.3,57.7
2006,5,14.0,4.5,5,113.6,66.1
2006,6,18.1,8.3,0,65.6,84.2
2006,7,22.1,11.0,0,81.0,33.9
2006,8,17.7,9.3,0,76.2,17.7
2006,9,17.5,9.9,0,181.6,9.1
2006,10,13.7,6.9,1,159.2,54.8
2006,11,8.9,2.9,6,285.0,45.3
2006,12,6.5,1.6,10,331.4,32.2
2007,1,7.4,1.7,8,286.9,40.3
2007,2,7.0,0.3,12,125.2,64.3
2007,3,8.7,1.4,10,137.0,3.1
2007,4,14.1,3.8,5,40.0,93.1
2007,5,13.4,5.2,2,146.7,53.4
2007,6,16.9,8.8,0,137.6,7.3
2007,7,17.2,9.0,0,168.2,14.5
2007,8,17.4,8.8,0,124.8,23.0
2007,9,15.7,6.4,1,107.6,16.3
2007,10,13.2,4.6,3,69.6,97.1
2007,11,9.0,2.4,6,124.6,43.2
2007,12,5.7,-0.5,13,197.6,39.1
2008,1,6.1,1.5,10,338.0,11.8
2008,2,8.2,-0.4,17,183.4,75.6
2008,3,7.3,0.4,11,180.6,89.1
2008,4,9.7,1.9,12,74.1,95.5
2008,5,16.4,6.6,2,17.6,67.4
2008,6,16.3,7.3,0,166.8,14.4
2008,7,18.7,10.7,0,149.5,27.7
2008,8,17.0,11.0,0,224.6,48.5
2008,9,14.4,7.6,0,124.0,48.8
2008,10,10.6,3.5,7,351.8,69.8
2008,11,7.5,2.5,6,125.0,54.2
2008,12,4.8,-1.7,20,152.7,50.6
2009,1,4.3,-1.0,20,248.0,29.0
2009,2,5.4,-0.7,16,65.6,42.5
2009,3,8.3,1.1,9,138.0,87.7
2009,4,12.6,3.1,6,80.8,16.2
2009,5,14.2,5.1,0,157.2,64.5
2009,6,18.1,8.2,0,79.8,34.4
2009,7,18.4,10.1,0,235.1,93.6
2009,8,17.5,10.5,0,393.0,89.6
2009,9,15.6,8.1,1,91.2,81.5
2009,10,12.5,5.1,4,146.6,64.8
2009,11,8.2,3.1,4,431.6,28.2
2009,12,3.3,-2.8,23,112.0,31.2
2010,1,2.2,-3.7,22,71.3,58.9
2010,2,3.8,-3.0,23,48.8,52.3
2010,3,7.9,-0.6,16,150.2,73.1
2010,4,11.7,1.6,8,74.6,35.1
2010,5,13.6,3.4,7,36.6,42.5
2010,6,18.7,8.0,0,32.8,40.4
2010,7,17.0,10.0,0,249.0,68.6
2010,8,17.5,8.4,0,95.8,14.6
2010,9,15.9,7.8,1,151.6,96.9
2010,10,11.5,4.5,5,108.6,74.7
2010,11,5.6,0.0,16,201.4,64.0
2010,12,1.4,-6.8,27,61.5,66.3
2011,1,4.4,-2.0,21,205.4,48.5
2011,2,6.6,1.2,6,266.1,37.2
2011,3,8.2,-0.2,13,124.3,70.3
2011,4,14.7,4.3,3,101.4,97.8
2011,5,13.4,5.5,3,224.0,20.3
2011,6,15.3,7.0,0,116.0,92.9
2011,7,18.3,7.4,0,134.8,60.8
2011,8,16.2,8.9,0,150.8,71.8
2011,9,15.2,8.3,0,236.0,72.0
2011,10,12.4,6.8,2,249.6,29.7
2011,11,10.5,4.3,4,212.4,45.9
2011,12,6.0,0.4,12,268.8,16.8
2012,1,5.9,0.0,11,164.0,43.6
2012,2,6.0,0.4,13,101.8,50.6
2012,3,11.6,2.0,11,58.2,28.6
2012,4,9.2,1.1,8,95.2,81.8
2012,5,14.5,4.3,6,82.2,83.4
2012,6,14.4,7.3,0,245.6,57.8
2012,7,16.1,9.1,0,203.0,60.0
2012,8,18.0,9.9,1,202.4,12.6
2012,9,14.0,6.8,2,169.4,91.2
2012,10,10.2,2.3,11,190.6,83.2
2012,11,7.2,1.7,11,239.2,44.3
2012,12,5.1,-0.4,15,243.6,36.6
2013,1,4.4,0.2,18,189.7,17.6
2013,2,5.1,-1.3,20,98.2,84.8
2013,3,3.9,-2.3,24,56.1,63.8
2013,4,8.9,1.1,11,165.4,99.5
2013,5,13.1,3.9,7,119.4,19.0
2013,6,16.9,7.0,0,82.2,26.9
2013,7,21.4,11.1,0,134.4,85.4
2013,8,17.8,10.1,0,102.0,73.8
2013,9,14.9,7.6,0,117.8,67.1
2013,10,12.6,7.7,0,242.8,40.6
2013,11,7.4,-0.4,15,96.8,67.1
2013,12,7.5,1.9,7,390.4,18.5
2014,1,5.7,1.5,5,239.4,10.9
2014,2,5.8,1.0,9,301.5,15.8
2014,3,8.7,1.8,12,187.2,85.4
2014,4,12.0,4.3,4,121.4,9.0
2014,5,13.9,6.2,1,117.2,80.5
2014,6,17.8,9.0,0,60.8,9.0
2014,7,20.0,9.1,0,101.4,78.6
2014,8,16.5,8.3,0,138.0,21.0
2014,9,17.0,7.6,0,16.0,91.1
2014,10,12.4,5.7,4,315.2,46.0
2014,11,9.0,3.6,2,156.0,36.0
2014,12,5.6,-0.5,13,248.8,31.3
2015,1,5.0,-0.6,14,351.7,37.0
2015,2,5.5,-1.3,15,154.4,71.0
2015,3,7.4,0.4,13,193.6,74.1
2015,4,11.8,0.2,12,71.2,85.8
2015,5,11.9,3.9,4,167.6,21.7
2015,6,15.7,6.9,1,101.8,5.5
2015,7,16.5,8.5,0,187.7,81.5
2015,8,17.0,8.8,0,122.0,4.6
2015,9,15.7,4.9,0,49.3,79.0
2015,10,12.7,4.3,2,98.6,79.2
2015,11,9.4,4.0,3,385.0,23.4
2015,12,8.6,2.9,6,568.8,9.1
2016,1,5.3,0.8,14,358.6,16.2
2016,2,5.4,-1.2,16,207.8,64.7
2016,3,8.1,0.5,11,110.4,80.0
2016,4,9.2,0.9,11,102.4,27.7
2016,5,14.7,5.3,3,82.8,53.2
2016,6,17.6,8.6,0,94.2,26.9
2016,7,17.1,9.5,0,154.2,81.1
2016,8,17.7,9.8,0,118.8,18.5
2016,9,16.1,9.3,0,187.8,61.2
2016,10,12.1,4.9,0,46.4,75.1
2016,11,6.4,-1.3,19,96.4,71.4
2016,12,7.9,2.8,6,131.8,20.7
2017,1,5.9,-0.5,19,84.8,60.8
2017,2,6.4,1.7,7,187.2,30.3
2017,3,9.6,1.9,7,243.8,3.7
2017,4,11.1,2.1,11,31.6,49.9
2017,5,16.0,6.2,1,102.8,0.9
2017,6,16.4,9.3,0,183.0,21.9
2017,7,17.1,9.6,0,138.0,13.9
2017,8,16.6,9.1,0,178.0,10.3
2017,9,14.6,7.7,0,155.4,70.9
2017,10,12.9,6.5,3,202.4,43.6
2017,11,7.2,0.1,20,122.4,73.8
2017,12,5.7,-0.8,18,143.1,50.9
2018,1,4.6,-0.1,15,262.8,27.7
2018,2,4.5,-2.2,22,98.1,80.3
2018,3,5.4,-0.9,17,115.2,66.0
2018,4,10.1,3.5,3,137.8,84.2
2018,5,16.3,5.2,2,64.6,98.8
2018,6,19.7,7.9,0,115.4,14.8
2018,7,20.7,9.9,0,76.8,57.8
2018,8,17.1,9.4,0,173.4,84.7
2018,9,14.4,6.2,3,179.8,72.1
2018,10,11.9,4.0,8,135.2,81.1
2018,11,8.8,3.9,4,251.6,36.6
2018,12,7.0,1.4,10,156.0,28.4
2019,1,5.3,-1.3,18,65.2,67.2
2019,2,8.6,0.1,15,162.4,72.4
2019,3,8.4,2.4,6,263.0,57.9
2019,4,12.5,2.1,6,54.8,58.6
2019,5,13.9,3.5,7,78.6,69.9
2019,6,16.2,7.7,0,111.0,32.2
2019,7,19.5,10.9,0,134.8,5.6
2019,8,18.2,11.0,0,225.2,98.3
2019,9,15.5,7.3,0,188.6,97.0
2019,10,10.6,3.9,6,117.8,80.4
2019,11,6.7,0.9,11,114.4,53.3
2019,12,6.5,1.7,7,182.6,28.5
2020,1,6.8,1.9,7,292.3,23.7
2020,2,6.0,0.5,10,414.0,48.0
2020,3,8.1,0.3,10,149.6,72.6
2020,4,13.3,2.0,6,20.6,92.0
2020,5,15.4,4.1,8,61.2,0.2
