yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.2,2.4,7,29.0,35.5
1996,2,5.5,-0.1,17,34.1,71.4
1996,3,6.9,1.6,8,15.8,92.2
1996,4,13.1,4.8,1,4.6,183.3
1996,5,13.3,6.3,0,44.5,194.3
1996,6,19.9,10.4,0,11.0,259.1
1996,7,21.7,12.3,0,22.6,234.1
1996,8,21.8,13.0,0,84.3,219.2
1996,9,17.3,11.5,0,42.1,171.7
1996,10,15.3,8.5,0,21.7,138.9
1996,11,9.9,3.6,6,87.0,96.4
1996,12,6.1,1.7,11,29.9,48.4
1997,1,4.4,-0.3,15,11.5,63.8
1997,2,9.8,3.2,3,42.2,58.8
1997,3,12.2,4.7,1,9.4,148.2
1997,4,13.1,4.6,1,7.6,228.9
1997,5,16.7,7.6,1,37.5,272.3
1997,6,18.7,11.6,0,90.1,211.8
1997,7,21.5,13.0,0,23.1,244.1
1997,8,25.1,16.2,0,29.1,257.9
1997,9,19.9,11.3,0,1.5,207.1
1997,10,15.0,7.6,3,53.2,161.6
1997,11,11.7,5.9,1,89.9,63.1
1997,12,8.9,3.6,3,97.0,33.1
1998,1,8.5,3.0,5,45.7,67.5
1998,2,10.4,3.1,5,6.2,125.0
1998,3,11.3,5.3,2,25.7,83.5
1998,4,12.3,5.0,2,55.0,143.8
1998,5,16.8,9.7,0,35.6,234.1
1998,6,19.1,11.4,0,78.2,190.5
1998,7,20.4,12.7,0,26.3,215.4
1998,8,22.5,12.9,0,5.6,267.5
1998,9,18.9,12.6,0,79.8,158.0
1998,10,14.1,8.4,0,133.1,93.7
1998,11,8.9,3.2,5,61.6,110.6
1998,12,8.8,3.5,5,48.7,50.4
1999,1,9.0,3.5,3,56.7,75.9
1999,2,7.7,2.0,7,17.4,101.5
1999,3,10.9,4.5,1,30.1,113.4
1999,4,13.2,6.3,2,62.1,195.9
1999,5,17.3,9.6,0,43.1,247.1
1999,6,18.7,10.9,0,45.8,254.6
1999,7,22.2,14.7,0,18.5,280.4
1999,8,21.5,14.1,0,75.4,222.9
1999,9,20.5,14.0,0,57.0,164.2
1999,10,15.0,8.8,0,52.8,157.3
1999,11,10.8,6.5,0,42.4,81.8
1999,12,8.2,2.9,2,68.0,83.1
2000,1,7.9,2.7,7,12.4,70.3
2000,2,9.6,3.6,2,61.6,111.0
2000,3,10.8,4.7,2,23.8,112.9
2000,4,12.0,5.9,2,127.8,160.4
2000,5,15.8,9.2,0,108.2,178.9
2000,6,19.7,11.7,0,10.4,219.3
2000,7,18.9,11.9,0,49.1,139.2
