yyyy,mm,tmax,tmin,af,rain,sun
1996,1,7.2,2.4,7,6.8,49.4
1996,2,5.7,-0.1,11,35.1,72.5
1996,3,7.0,2.3,3,15.5,65.2
1996,4,12.2,4.8,2,41.7,127.6
1996,5,11.6,4.8,1,45.2,187.8
1996,6,0.0,0.0,0,25.0,0.0
1996,7,0.0,0.0,0,0.0,0.0
1996,8,0.0,0.0,0,60.0,0.0
1996,9,0.0,0.0,0,23.1,0.0
1996,10,14.2,7.1,0,82.5,82.1
1996,11,7.5,1.3,10,58.1,63.8
1996,12,5.6,-0.3,15,23.4,17.2
1997,1,6.4,0.1,17,36.2,57.6
1997,2,8.6,1.8,4,80.0,68.2
1997,3,11.4,4.3,1,60.3,100.0
1997,4,12.3,3.9,5,21.5,102.0
1997,5,13.1,5.9,1,115.7,157.7
1997,6,15.3,8.7,0,142.6,132.3
1997,7,19.2,11.0,0,79.8,140.7
1997,8,21.0,11.8,0,43.3,195.7
1997,9,16.3,8.1,1,33.0,135.7
1997,10,13.5,5.3,2,16.0,104.0
1997,11,10.8,5.4,1,40.3,46.9
1997,12,8.0,2.4,6,47.0,24.1
1998,1,7.7,0.8,11,66.7,47.7
1998,2,11.2,4.9,1,46.0,47.1
1998,3,10.4,2.4,8,41.9,77.5
1998,4,10.0,2.1,7,75.1,125.8
1998,5,14.8,6.8,0,32.7,162.9
1998,6,0.0,0.0,-,0.0,0.0
1998,7,0.0,0.0,-,0.0,0.0
1998,8,0.0,0.0,-,0.0,0.0
1998,9,17.1,7.8,0,36.4,122.5
1998,10,11.2,4.6,2,93.0,104.8
1998,11,8.7,1.4,9,86.8,54.1
1998,12,8.9,1.7,6,36.0,35.3
1999,1,6.7,1.3,8,50.7,48.3
1999,2,7.3,0.6,10,42.4,73.6
1999,3,9.7,2.8,6,20.7,116.4
1999,4,12.2,4.3,3,48.6,138.5
1999,5,14.8,6.2,0,79.8,174.7
1999,6,15.8,8.4,0,77.0,112.8
