yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.4,3.0,8,85.7,17.0
1996,2,6.4,-0.4,18,67.0,91.9
1996,3,8.1,2.1,6,73.2,54.8
1996,4,13.9,4.8,4,47.6,139.1
1996,5,14.4,5.3,1,40.6,183.1
1996,6,20.7,9.4,0,21.9,269.1
1996,7,23.0,11.9,0,15.1,254.6
1996,8,22.0,12.1,0,79.8,214.7
1996,9,18.6,9.5,0,23.9,151.9
1996,10,15.4,8.8,0,63.4,100.4
1996,11,9.6,2.6,12,67.3,81.1
1996,12,5.4,0.6,13,23.2,44.8
1997,1,5.2,-0.2,16,9.0,36.3
1997,2,10.4,3.9,3,95.0,70.5
1997,3,12.6,4.6,1,25.6,137.1
1997,4,14.7,4.8,1,25.9,177.9
1997,5,17.1,7.0,0,49.8,240.6
1997,6,18.7,10.8,0,103.9,122.2
1997,7,22.5,11.9,0,17.2,251.9
1997,8,23.8,14.6,0,130.0,181.1
1997,9,18.8,10.1,0,21.7,145.6
1997,10,14.4,5.9,8,57.1,138.9
1997,11,11.8,6.0,3,95.5,48.5
1997,12,9.0,3.5,6,60.9,44.1
1998,1,8.1,3.0,7,124.3,48.1
1998,2,11.3,4.3,3,12.6,92.7
1998,3,12.1,5.1,1,75.6,84.6
1998,4,11.9,4.5,2,122.0,111.9
1998,5,19.2,8.7,0,9.9,243.3
1998,6,18.5,11.3,0,89.4,152.3
1998,7,20.3,12.1,0,16.4,177.2
1998,8,21.7,11.3,0,28.6,241.5
1998,9,19.2,11.4,0,83.0,134.4
1998,10,14.2,7.6,1,108.8,96.9
1998,11,9.9,3.3,6,50.1,78.9
1998,12,9.2,2.5,10,60.5,34.7
1999,1,9.2,3.2,5,129.1,50.7
1999,2,8.9,2.7,6,32.1,78.4
1999,3,11.2,3.9,1,47.2,100.4
1999,4,14.0,5.9,4,75.4,151.2
1999,5,17.5,9.4,0,55.6,149.1
1999,6,19.3,9.4,0,49.2,200.2
1999,7,24.0,13.1,0,6.4,261.7
1999,8,21.2,12.3,0,116.9,174.6
1999,9,20.2,11.2,0,112.8,178.3
1999,10,14.8,6.9,0,82.6,129.6
1999,11,10.9,4.9,1,43.0,70.3
1999,12,8.6,0.6,10,100.2,62.2
2000,1,8.4,0.5,15,21.9,54.7
2000,2,10.2,3.3,5,68.8,100.9
2000,3,12.0,4.4,1,20.3,137.2
2000,4,12.2,4.1,3,172.0,143.3
2000,5,16.9,7.8,0,57.4,181.9
2000,6,20.2,11.4,0,31.4,177.2
2000,7,21.0,11.8,0,36.1,179.3
2000,8,21.9,12.1,0,46.9,228.1
2000,9,19.4,11.2,0,85.1,122.6
2000,10,14.0,7.1,0,137.5,94.7
2000,11,10.2,4.4,1,144.5,59.0
2000,12,8.6,3.9,7,177.0,54.5
2001,1,6.4,1.0,13,60.6,67.5
2001,2,8.5,1.1,13,76.1,92.0
2001,3,8.7,2.3,7,103.3,81.1
2001,4,12.5,4.4,2,75.6,165.7
2001,5,18.2,7.6,0,37.6,205.5
2001,6,20.0,10.3,0,29.4,228.0
2001,7,22.2,12.5,0,78.9,207.4
2001,8,21.5,13.1,0,62.5,190.9
2001,9,17.9,10.1,0,31.3,127.9
2001,10,16.7,10.7,0,162.3,115.7
2001,11,11.3,3.9,5,33.4,63.2
2001,12,7.1,0.3,20,16.4,74.4
2002,1,9.2,2.9,5,79.2,40.8
2002,2,10.6,4.4,2,143.1,76.1
2002,3,12.0,4.3,2,29.8,113.0
2002,4,14.7,5.0,0,46.2,191.8
2002,5,16.5,8.0,0,81.9,192.1
2002,6,19.1,10.1,0,23.0,184.9
2002,7,21.0,11.8,0,55.9,202.0
2002,8,22.2,12.8,0,21.6,165.6
2002,9,19.8,10.2,0,19.7,168.6
2002,10,14.2,6.6,2,183.2,108.3
2002,11,12.1,6.5,0,110.8,64.5
2002,12,8.2,4.2,3,105.4,33.6
2003,1,7.8,2.1,10,52.5,91.7
2003,2,8.1,0.7,12,23.5,87.7
2003,3,13.1,2.7,10,27.9,162.0
2003,4,15.4,5.0,4,36.5,195.6
2003,5,16.7,8.2,0,35.7,221.5
2003,6,21.9,11.3,0,51.1,237.6
2003,7,22.1,13.4,0,65.7,165.2
2003,8,24.3,13.6,0,9.9,215.4
2003,9,20.6,8.7,0,11.7,165.6
2003,10,13.8,4.9,5,46.4,138.8
2003,11,11.6,5.3,4,77.8,65.2
2003,12,8.7,2.1,10,83.8,45.4
2004,1,8.7,3.4,7,80.0,56.3
2004,2,8.7,2.9,10,29.6,96.2
2004,3,10.8,3.3,4,42.3,110.5
2004,4,14.2,5.9,1,77.7,138.7
2004,5,18.1,8.0,0,36.6,203.1
2004,6,21.1,11.7,0,36.0,248.9
2004,7,20.9,11.9,0,44.1,170.1
2004,8,22.5,13.6,0,85.7,212.1
2004,9,19.8,10.9,0,53.1,177.5
2004,10,14.1,8.0,0,140.6,105.1
2004,11,11.1,5.2,1,30.4,48.2
2004,12,9.1,3.0,7,36.1,57.5
2005,1,9.6,3.8,3,27.1,61.1
2005,2,7.9,2.0,9,32.1,76.5
2005,3,11.2,4.0,7,69.0,94.1
2005,4,13.9,5.3,2,52.5,156.8
2005,5,16.7,7.4,0,31.0,229.8
2005,6,21.0,11.5,0,48.0,216.1
2005,7,22.2,13.0,0,60.7,224.1
2005,8,22.2,11.5,0,24.5,245.2
2005,9,20.7,11.4,0,67.1,174.4
2005,10,16.6,10.6,0,131.6,82.1
2005,11,10.1,2.5,11,68.4,77.2
2005,12,8.5,1.1,11,65.2,50.8
2006,1,7.3,2.1,11,15.0,51.5
2006,2,6.7,1.2,11,30.8,68.0
2006,3,9.3,2.5,9,67.2,101.0
2006,4,14.0,5.3,2,17.5,157.9
2006,5,17.6,8.9,0,109.4,193.0
2006,6,22.6,11.6,0,17.2,259.9
2006,7,26.8,14.4,0,34.3,309.6
2006,8,21.5,13.0,0,117.0,174.0
2006,9,21.5,12.6,0,57.6,157.7
2006,10,16.5,10.0,0,82.9,95.1
2006,11,12.1,4.4,4,94.5,102.6
2006,12,9.3,4.5,3,105.5,40.3
2007,1,10.5,4.8,5,66.6,60.3
2007,2,9.3,3.2,7,86.1,61.2
2007,3,11.8,3.4,1,73.8,162.7
2007,4,17.9,6.6,0,7.0,232.4
2007,5,17.0,8.3,0,139.9,172.9
2007,6,20.2,11.7,0,136.6,153.7
2007,7,19.6,11.7,0,161.1,205.8
2007,8,21.2,11.5,0,32.6,202.7
2007,9,18.9,10.1,0,49.1,153.6
2007,10,14.9,7.5,0,37.4,100.3
2007,11,11.2,3.6,6,51.2,75.9
2007,12,8.4,2.6,9,68.0,42.1
2008,1,10.3,3.9,1,101.7,44.1
2008,2,10.0,1.0,13,29.5,104.3
2008,3,10.7,3.7,2,100.2,125.6
2008,4,13.3,4.5,4,73.9,158.6
2008,5,18.6,9.6,0,101.8,167.6
2008,6,19.6,10.4,0,22.0,237.6
2008,7,21.6,12.5,0,86.8,195.2
2008,8,20.4,13.6,0,81.6,135.3
2008,9,17.7,9.9,0,111.1,94.7
2008,10,14.1,6.5,1,62.4,130.8
2008,11,10.6,4.8,3,76.2,62.7
2008,12,7.1,1.4,13,49.0,63.8
2009,1,6.4,0.1,18,71.7,54.4
2009,2,7.9,1.9,11,41.4,58.8
2009,3,12.0,2.8,5,24.7,142.9
2009,4,15.2,5.3,1,38.6,166.9
2009,5,17.5,8.2,0,37.7,224.3
2009,6,20.9,10.4,0,102.6,209.8
2009,7,20.8,12.6,0,143.8,177.4
2009,8,21.1,12.9,0,22.0,173.5
2009,9,19.0,10.5,0,23.3,145.8
2009,10,15.7,8.8,0,49.5,94.3
2009,11,11.4,6.7,0,168.1,64.2
2009,12,6.1,0.3,13,86.0,50.0
2010,1,4.7,-1.7,19,73.4,65.8
2010,2,6.9,0.7,10,47.3,66.9
2010,3,10.8,2.1,10,47.2,133.5
2010,4,15.1,4.2,1,22.5,210.7
2010,5,17.0,7.0,0,48.7,205.7
2010,6,22.1,10.6,0,21.2,249.5
2010,7,22.0,13.6,0,47.2,148.8
2010,8,20.5,11.8,0,113.7,152.8
2010,9,18.4,9.9,0,38.5,119.7
2010,10,14.5,6.8,3,45.9,116.6
2010,11,8.6,2.3,10,61.4,59.0
2010,12,2.8,-4.3,25,21.1,27.2
2011,1,6.9,1.3,13,65.7,50.3
2011,2,9.9,4.5,3,38.4,51.5
2011,3,11.9,3.0,6,17.0,130.4
2011,4,18.6,6.6,0,7.0,210.4
2011,5,17.5,8.4,0,39.0,219.9
2011,6,19.2,9.5,0,38.3,192.3
2011,7,21.0,11.2,0,55.0,171.1
2011,8,20.4,12.2,0,38.1,150.9
2011,9,19.7,11.8,0,44.1,139.3
2011,10,16.9,9.5,0,39.1,119.6
2011,11,12.8,7.3,1,64.3,52.3
2011,12,9.8,4.0,2,75.8,46.4
2012,1,9.5,3.0,9,36.4,62.7
2012,2,8.3,1.0,12,15.4,84.1
2012,3,13.9,3.2,3,12.9,170.5
2012,4,11.8,3.8,4,184.9,133.0
2012,5,17.4,8.1,0,52.5,191.1
2012,6,17.7,10.8,0,147.4,107.1
2012,7,20.5,12.1,0,101.4,183.7
2012,8,20.9,13.3,0,94.0,146.3
2012,9,18.1,8.9,0,89.2,155.0
2012,10,13.3,6.6,0,83.1,91.0
2012,11,10.0,3.3,6,127.2,62.5
2012,12,8.7,2.5,8,108.3,53.6
2013,1,6.9,1.8,13,79.6,61.8
2013,2,6.3,0.6,11,23.6,59.0
2013,3,6.5,-0.3,18,78.7,66.9
2013,4,12.3,3.8,6,23.9,144.0
2013,5,16.0,6.3,0,70.2,192.6
2013,6,19.2,10.3,0,23.5,187.4
2013,7,25.5,13.8,0,32.9,300.8
2013,8,22.0,13.0,0,39.0,170.8
2013,9,18.9,10.4,0,49.6,116.9
2013,10,16.1,10.0,0,184.0,100.2
2013,11,10.1,3.3,7,44.9,68.4
2013,12,10.0,4.2,0,120.9,54.5
2014,1,8.8,3.2,3,180.5,57.7
2014,2,9.3,4.0,0,168.1,88.1
2014,3,12.8,3.5,3,43.1,141.2
2014,4,15.0,6.3,0,42.6,145.2
2014,5,17.4,8.7,0,95.2,171.9
2014,6,21.4,11.3,0,57.4,232.6
2014,7,23.9,12.7,0,30.4,254.1
2014,8,19.8,11.3,0,110.0,177.9
2014,9,20.8,10.8,0,19.7,126.1
2014,10,16.1,9.7,0,93.1,75.9
2014,11,11.4,5.8,4,113.0,53.3
2014,12,9.1,2.0,13,35.2,70.7
2015,1,8.5,2.0,7,73.0,90.9
2015,2,7.8,1.2,12,35.3,86.1
2015,3,11.0,3.4,4,38.4,119.9
