yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.0,2.5,8,32.1,11.5
1996,2,5.6,-1.7,21,57.3,85.3
1996,3,6.8,1.4,9,46.7,55.5
1996,4,12.6,3.5,6,59.5,106.9
1996,5,13.4,4.1,9,49.6,180.8
1996,6,19.2,7.7,0,29.5,252.2
1996,7,21.3,10.2,0,23.6,226.8
1996,8,21.1,11.3,0,47.2,174.4
1996,9,17.8,8.3,0,13.7,133.2
1996,10,14.7,7.4,0,69.8,86.6
1996,11,9.1,1.6,15,65.8,91.8
1996,12,5.2,-0.4,17,43.5,51.0
1997,1,4.9,-1.2,20,10.4,33.1
1997,2,10.0,3.0,5,43.0,80.0
1997,3,11.8,3.7,3,24.2,119.6
1997,4,13.1,4.0,7,21.9,137.9
1997,5,16.2,5.7,2,87.0,232.9
1997,6,17.5,9.5,0,96.9,123.0
1997,7,21.3,10.8,0,40.6,237.4
1997,8,23.4,13.0,0,91.0,195.7
1997,9,17.6,9.4,0,21.0,138.4
1997,10,13.6,4.9,9,58.8,117.8
1997,11,11.2,5.1,6,68.3,39.3
1997,12,8.2,2.2,10,61.1,31.8
1998,1,7.3,1.6,11,81.4,46.5
1998,2,10.9,3.5,6,16.4,78.2
1998,3,11.3,4.4,5,64.4,88.1
1998,4,10.9,3.1,8,87.8,139.2
1998,5,17.3,7.7,0,12.8,205.4
1998,6,17.7,10.1,0,72.6,145.9
1998,7,19.1,10.9,0,35.3,159.9
1998,8,20.2,10.4,0,40.4,193.9
1998,9,17.9,10.2,0,77.3,112.2
1998,10,13.5,6.5,1,106.8,95.6
1998,11,9.1,1.8,11,41.2,72.2
1998,12,8.3,0.2,14,45.8,38.2
1999,1,8.5,1.1,11,90.7,59.9
1999,2,8.2,1.3,10,39.6,62.9
1999,3,10.4,3.2,3,47.2,100.0
1999,4,13.5,4.8,5,39.8,159.7
1999,5,16.7,8.4,0,54.1,147.4
1999,6,18.1,8.9,0,64.7,211.8
1999,7,22.5,11.7,0,14.0,242.9
1999,8,19.9,11.1,0,128.1,153.2
1999,9,19.6,10.0,0,125.3,178.5
1999,10,14.3,6.3,1,80.8,116.4
1999,11,10.6,4.1,3,34.2,66.1
1999,12,7.8,1.1,10,79.8,44.8
2000,1,8.0,1.4,13,23.0,59.8
2000,2,9.5,1.9,7,55.1,102.2
2000,3,10.9,2.5,11,15.8,120.8
2000,4,11.5,3.2,7,114.7,146.5
2000,5,16.5,6.1,0,43.6,211.2
2000,6,18.8,10.1,0,45.5,161.1
2000,7,19.4,10.6,0,72.6,174.6
2000,8,20.6,10.8,0,91.1,168.2
2000,9,18.3,10.3,0,101.7,119.0
2000,10,13.6,5.8,0,114.1,93.6
2000,11,9.7,2.8,7,111.6,53.4
2000,12,7.9,2.4,8,77.1,52.7
2001,1,5.8,-0.8,17,34.1,78.9
2001,2,7.7,-0.2,13,52.4,90.4
2001,3,8.5,1.2,8,49.8,99.6
2001,4,11.2,3.0,5,78.1,144.4
2001,5,17.1,6.9,0,68.7,225.3
2001,6,18.7,9.6,0,25.6,199.8
2001,7,21.3,11.6,0,38.7,185.1
2001,8,20.8,11.3,0,81.6,181.6
2001,9,16.7,9.7,0,46.4,101.0
2001,10,16.1,9.6,0,92.5,99.3
2001,11,11.0,3.4,6,28.2,53.6
2001,12,6.4,-0.7,21,24.6,66.0
2002,1,8.3,1.5,10,37.0,37.3
2002,2,9.9,3.3,5,63.0,67.9
2002,3,11.1,2.8,7,28.6,108.8
2002,4,13.7,3.2,7,34.2,152.7
2002,5,15.6,7.3,0,49.2,154.3
2002,6,18.1,9.4,0,54.2,120.3
2002,7,19.7,10.9,0,59.0,128.7
2002,8,20.6,11.7,0,58.6,122.9
2002,9,18.3,8.9,0,25.0,133.6
2002,10,13.1,5.6,3,104.6,91.3
