yyyy,mm,tmax,tmin,af,rain,sun
1996,1,5.6,2.0,9,26.4,14.2
1996,2,5.5,-0.5,19,45.7,75.2
1996,3,6.8,1.3,8,24.8,44.8
1996,4,13.0,3.6,8,31.9,128.1
1996,5,13.8,4.5,7,20.3,154.5
1996,6,20.2,8.1,0,31.2,196.3
1996,7,22.2,11.0,0,30.1,220.4
1996,8,22.1,11.8,0,58.1,169.9
1996,9,17.9,9.3,0,7.1,111.9
1996,10,15.2,8.0,0,46.1,119.4
1996,11,8.8,2.5,12,76.9,83.2
1996,12,5.4,0.1,16,48.0,41.6
1997,1,5.5,-1.4,21,18.7,35.0
1997,2,10.1,4.0,2,50.2,72.9
1997,3,12.3,4.4,4,14.1,127.0
1997,4,13.5,4.4,4,21.1,136.2
1997,5,16.5,5.6,1,45.7,240.1
1997,6,18.0,10.1,0,114.3,115.0
1997,7,21.5,12.0,0,43.2,203.5
1997,8,24.5,13.7,0,47.7,181.7
1997,9,18.3,9.9,0,11.5,150.8
1997,10,13.9,5.5,6,39.4,112.0
1997,11,11.3,5.5,4,71.3,40.8
1997,12,8.4,3.5,5,44.3,39.5
1998,1,7.7,2.6,8,91.0,41.1
1998,2,11.0,4.1,4,8.8,96.3
1998,3,11.3,4.5,4,67.9,72.3
1998,4,11.4,4.1,2,104.8,110.0
1998,5,17.2,7.6,0,19.2,171.0
1998,6,18.4,10.5,0,126.8,114.5
1998,7,19.7,11.6,0,17.7,149.1
1998,8,20.9,11.4,0,45.8,201.8
1998,9,18.4,11.2,0,65.5,104.1
1998,10,13.9,7.8,1,106.3,90.5
1998,11,8.6,2.7,5,30.3,56.1
1998,12,8.7,2.3,11,63.1,34.4
1999,1,8.5,2.5,5,85.2,63.5
1999,2,8.2,2.2,7,39.2,81.4
1999,3,10.9,4.5,1,86.3,108.2
1999,4,13.8,5.2,3,68.9,144.7
1999,5,17.4,8.7,0,52.3,137.7
1999,6,18.4,9.3,0,69.4,169.0
1999,7,22.9,12.5,0,28.2,233.9
1999,8,20.7,11.5,0,65.3,129.4
1999,9,20.5,11.3,0,65.1,149.5
1999,10,14.5,7.0,0,72.6,125.7
1999,11,10.6,5.2,0,29.2,65.5
1999,12,7.7,1.9,6,58.4,54.5
2000,1,8.8,1.7,9,13.4,0.0
2000,2,9.7,2.7,5,54.8,0.0
2000,3,11.5,3.2,8,22.8,0.0
2000,4,11.9,3.8,3,86.8,0.0
2000,5,16.2,7.4,0,67.4,0.0
2000,6,19.2,10.8,0,20.0,0.0
2000,7,19.5,10.6,0,68.6,0.0
2000,8,21.6,11.6,0,14.0,0.0
2000,9,18.8,11.1,0,68.8,0.0
2000,10,13.8,7.3,0,94.6,0.0
