yyyy,mm,tmax,tmin,af,rain,sun
1996,1,8.1,4.8,3,88.7,34.3
1996,2,7.4,1.7,6,129.3,97.0
1996,3,7.6,3.3,2,50.4,94.3
1996,4,10.0,5.7,0,100.3,143.2
1996,5,11.1,5.1,0,57.6,284.2
1996,6,14.3,9.4,0,73.4,218.8
1996,7,15.3,10.6,0,75.5,153.7
1996,8,15.9,11.5,0,129.1,142.1
1996,9,15.8,10.6,0,56.0,165.9
1996,10,12.9,8.6,0,247.0,66.9
1996,11,8.9,3.7,3,183.9,65.1
1996,12,7.3,3.1,7,68.3,62.4
1997,1,7.2,2.6,7,44.4,40.6
1997,2,8.6,2.9,0,201.9,56.7
1997,3,9.9,5.7,0,88.9,108.1
1997,4,11.0,6.4,0,54.9,129.1
1997,5,13.4,7.0,0,52.5,240.3
1997,6,14.6,9.4,0,22.9,246.1
1997,7,16.8,11.6,0,74.8,175.6
1997,8,18.2,12.6,0,97.4,223.8
1997,9,15.4,9.9,0,106.1,148.0
1997,10,12.9,8.0,0,80.9,112.7
1997,11,11.3,7.5,0,113.7,38.9
1997,12,9.5,5.2,1,166.4,36.3
1998,1,8.5,3.9,1,207.5,24.0
1998,2,9.9,6.4,0,124.1,35.3
1998,3,9.5,5.1,2,91.2,61.8
1998,4,9.8,4.2,1,43.8,210.3
1998,5,13.1,7.9,0,38.3,188.3
1998,6,14.2,8.8,0,71.0,234.5
1998,7,15.2,10.8,0,114.2,147.0
1998,8,15.7,11.2,0,138.8,124.9
1998,9,15.9,10.4,0,35.1,138.2
1998,10,12.1,6.9,0,187.7,121.2
1998,11,9.9,5.0,1,137.9,58.0
1998,12,9.4,5.1,0,156.6,26.3
1999,1,8.1,3.4,2,173.5,40.7
1999,2,7.5,3.3,4,89.0,68.8
1999,3,8.9,4.3,0,94.0,140.6
1999,4,10.7,5.7,2,79.0,162.6
1999,5,13.4,7.7,0,50.1,225.1
1999,6,13.7,8.8,0,88.0,194.6
1999,7,16.2,11.3,0,68.0,191.9
1999,8,17.2,10.8,0,78.4,197.4
1999,9,15.6,11.0,0,157.2,101.9
1999,10,13.1,9.1,0,103.6,81.3
1999,11,10.4,6.2,0,172.7,43.0
1999,12,7.4,3.2,0,259.6,38.6
2000,1,8.4,4.3,0,124.8,43.5
2000,2,8.4,3.6,2,158.0,68.2
2000,3,9.3,5.2,1,77.0,83.9
2000,4,9.6,4.6,0,50.8,183.6
2000,5,13.4,7.3,0,43.4,313.2
2000,6,14.1,9.3,0,62.2,207.7
2000,7,16.6,11.1,0,20.4,227.3
2000,8,17.0,11.5,0,87.6,206.6
2000,9,15.6,10.6,0,137.2,128.0
2000,10,12.4,8.1,0,226.4,89.3
2000,11,9.5,5.2,0,128.0,59.8
2000,12,8.0,4.5,5,165.6,47.5
2001,1,6.9,3.3,3,109.6,60.3
2001,2,7.1,3.1,4,60.5,95.6
2001,3,8.0,2.4,8,30.2,178.1
2001,4,9.9,4.3,0,31.6,182.4
2001,5,14.0,7.6,0,22.6,220.7
2001,6,13.7,8.8,0,61.8,161.8
2001,7,15.5,10.8,0,63.0,159.5
2001,8,16.6,11.3,0,95.6,168.3
2001,9,14.9,10.0,0,88.2,149.6
2001,10,14.1,10.4,0,183.8,71.5
2001,11,11.0,6.4,0,145.2,19.9
2001,12,8.6,4.0,2,89.6,50.8
2002,1,9.5,5.5,1,155.0,25.6
2002,2,8.6,3.9,1,187.2,52.5
2002,3,9.4,4.9,0,82.0,110.0
2002,4,10.8,6.2,0,100.4,159.7
2002,5,13.2,7.9,0,91.8,198.9
2002,6,14.5,10.3,0,135.8,156.9
2002,7,15.3,10.8,0,100.2,158.2
2002,8,16.8,11.7,0,36.0,133.8
2002,9,16.0,10.6,0,80.0,0.0
2002,10,11.6,7.1,0,118.8,67.9
2002,11,10.8,7.2,1,136.8,40.6
2002,12,8.2,4.5,1,52.0,32.1
2003,1,7.8,3.3,7,100.8,50.7
2003,2,7.7,4.0,3,55.6,78.3
2003,3,9.8,5.3,0,78.0,144.2
2003,4,12.2,6.4,0,52.0,194.2
2003,5,12.5,7.4,0,85.6,175.2
2003,6,15.4,10.6,0,69.0,168.8
2003,7,17.4,12.5,0,75.0,123.3
2003,8,17.7,12.0,0,33.6,185.5
2003,9,15.5,9.7,0,92.2,121.9
2003,10,11.9,7.0,0,58.0,116.8
2003,11,10.9,6.7,0,183.6,54.1
2003,12,8.8,4.3,2,123.6,25.4
2004,1,8.5,4.3,1,140.6,34.9
