yyyy,mm,tmax,tmin,af,rain,sun
1996,1,7.7,3.5,4,54.6,4.0
1996,2,6.7,-0.6,19,69.0,3.8
1996,3,8.8,1.6,9,53.9,9.0
1996,4,13.0,4.4,5,45.0,8.3
1996,5,14.0,4.9,4,41.6,4.4
1996,6,20.0,8.7,0,34.8,4.6
1996,7,22.4,11.4,0,17.2,5.6
1996,8,22.0,11.3,0,56.0,8.0
1996,9,18.8,9.1,0,18.6,6.0
1996,10,15.7,8.9,0,50.4,5.0
1996,11,10.5,2.4,12,106.0,0.1
1996,12,5.9,0.3,13,14.4,0.1
1997,1,5.6,-0.8,18,8.6,0.8
1997,2,10.6,3.7,5,74.4,7.0
1997,3,12.6,4.0,4,31.5,0.3
1997,4,14.8,2.5,9,19.4,2.1
1997,5,17.2,6.5,1,55.6,3.0
1997,6,18.8,10.9,0,71.4,2.7
1997,7,22.1,10.8,0,30.3,6.1
1997,8,23.4,14.8,0,151.0,1.0
1997,9,19.2,9.2,0,18.8,6.9
1997,10,15.7,6.7,7,48.8,1.1
1997,11,12.5,5.4,7,110.6,8.3
1997,12,9.9,2.6,12,61.0,4.0
1998,1,8.9,2.2,12,83.0,8.1
1998,2,11.0,2.3,7,9.0,0.7
1998,3,11.9,4.7,6,44.0,2.1
1998,4,12.0,4.0,2,102.8,7.4
1998,5,18.7,8.6,1,39.0,2.7
1998,6,18.5,10.8,0,90.9,4.2
1998,7,19.6,11.7,0,48.2,7.9
1998,8,21.4,10.5,0,24.2,3.2
1998,9,19.2,11.2,0,80.8,5.0
1998,10,14.7,7.8,1,135.8,1.0
1998,11,10.4,3.0,10,58.0,9.3
1998,12,9.8,2.2,8,78.7,7.6
1999,1,9.9,2.6,6,85.2,0.3
1999,2,8.9,2.3,9,30.8,6.8
1999,3,11.4,3.2,9,52.0,3.8
1999,4,13.6,5.4,6,70.6,7.8
1999,5,17.5,8.7,0,51.6,7.0
1999,6,18.8,8.8,0,63.2,3.1
1999,7,23.3,12.0,0,10.0,3.4
1999,8,21.4,12.6,0,114.6,8.7
